slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,n_mono,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.10059199886783282,416.0,4,9,0.09784336011323484,0.24403487188241788,0.6623924660380529,24.0,96.0,0.8665136001354186,0.08716433508378377
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.12183737847793859,-8.0,5,13,0.593924263029768,0.90039281186333,0.8967379651088078,24.0,120.0,0.26219576296867714,0.03194524440812659
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.11823524674694585,-8.0,6,14,0.6471140254387315,1.7105305351053726,0.9822863437981079,24.0,144.0,0.20204903141913097,0.023889317084822365
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.17142513979662397,16.0,6,30,0.42539011787360825,1.3450522415828934,0.9127457036357022,24.0,144.0,0.44868016469221866,0.07691505995633585
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10131234143207332,-8.0,3,6,-0.018788522877200398,-0.3641864809148455,0.9505054781522306,24.0,72.0,0.8340106279041752,0.08449556949220566
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.1169310535357565,136.0,3,8,0.08226672574180098,-0.05538809143626475,0.6243409755523202,24.0,72.0,0.6355443005209978,0.07431486462856571
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.1402609197082923,64.0,3,6,0.20916514141584894,0.6416062706101093,0.6298260700785979,24.0,72.0,0.7943681594503662,0.11141880863149174
moldova_flooding_2024,moldova,flood,INFL,0.06299469886468742,448.0,4,8,0.18283202892270006,0.1551973536114089,0.8763066217453469,24.0,96.0,0.6441664810851011,0.04057907349468131
spain_flood,spain_flood,flood,INFL,0.12910513786241298,104.0,4,5,0.2672111552113405,0.7722540742890504,0.9762595008183927,24.0,96.0,0.785070108828101,0.10135658463191155
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,0.24759529687456974,32.0,4,4,0.3479752777497077,0.7066884660171192,0.893023087603731,24.0,96.0,0.3869447158247225,0.0958056917886682
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.18464417416993495,-8.0,5,14,1.1346522923352398,3.109602191978645,0.9391238411634014,24.0,120.0,0.5439554336665121,0.10043820183460196
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.08444372699984097,16.0,5,10,0.1691876148186708,-0.28871801031355554,0.7220455104482222,24.0,120.0,0.5486530819271921,0.04633031106788119
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.1248691169593249,16.0,6,6,0.16091047822223709,0.4112444300335794,0.7150074828125019,24.0,144.0,0.6516885562177969,0.08137577454741365
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.40114008822652447,16.0,4,34,0.2228386744457223,0.4673588092926708,0.9593725850264299,24.0,96.0,0.5693644673300816,0.22839491265783704
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.2564811305157264,-8.0,5,10,0.8332010653890054,2.395042213079635,0.9967433972852874,24.0,120.0,0.2442661187901974,0.06264965029399855
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.13709144407795817,136.0,3,8,0.180923579329155,-0.3330134380796684,0.8100949710720311,24.0,72.0,0.351065603851145,0.04812809059805386
