slug,short_name,disaster_type,event_type,t_peak_hours,D_peak,tau50_h,tau50_lower_bound
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,0.10059199886783282,212.0,1
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,0.12183737847793859,24.0,0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.11823524674694585,48.0,0
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,16.0,0.17142513979662397,120.0,0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,-8.0,0.10131234143207332,144.0,1
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,136.0,0.1169310535357565,192.0,1
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,64.0,0.1402609197082923,144.0,1
moldova_flooding_2024,moldova,flood,INFL,448.0,0.06299469886468742,96.0,0
spain_flood,spain_flood,flood,INFL,104.0,0.12910513786241298,116.0,1
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,32.0,0.24759529687456974,96.0,0
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,-8.0,0.18464417416993495,48.0,0
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,16.0,0.08444372699984097,24.0,0
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,16.0,0.1248691169593249,144.0,1
turkiye_earthquake_2023,turkiye,earthquake,INFL,16.0,0.40114008822652447,816.0,1
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,-8.0,0.2564811305157264,48.0,0
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,136.0,0.13709144407795817,24.0,0
