slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,Flooding In Central And Eastern Europe Sept 16 2024,flood,outputs/_runs/routeB16_legacy_repro_pinned,28,81,8.0,1,416.0,0.10059199886783282,INFL,0.06637828175458367,0.8665136001354186
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/routeB16_legacy_repro_pinned,14,14,24.0,0,-8.0,0.12183737847793859,EVAC,-0.21823052938023582,0.26219576296867714
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/routeB16_legacy_repro_pinned,15,15,24.0,0,-8.0,0.11823524674694585,EVAC,-0.16866740124210072,0.20204903141913097
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/routeB16_legacy_repro_pinned,32,32,24.0,0,16.0,0.17142513979662397,NEUTRAL,0.004281382808424045,0.44868016469221866
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/routeB16_legacy_repro_pinned,7,7,24.0,0,-8.0,0.10131234143207332,INFL,0.07476547421331281,0.8340106279041752
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/routeB16_legacy_repro_pinned,15,15,24.0,0,136.0,0.1169310535357565,INFL,0.0845285322756548,0.6355443005209978
hurricane_milton_across_florida_us,milton_fl,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/routeB16_legacy_repro_pinned,10,10,24.0,0,64.0,0.1402609197082923,INFL,0.11790225271303453,0.7943681594503662
moldova_flooding_2024,moldova,Moldova Flooding Sept 16 2024,flood,outputs/_runs/routeB16_legacy_repro_pinned,28,28,24.0,0,448.0,0.06299469886468742,INFL,0.04545334325701814,0.6441664810851011
spain_flood,spain_flood,Spain Flood (Valencia and Castilla-La Mancha Regions),flood,outputs/_runs/routeB16_legacy_repro_pinned,11,30,8.0,1,104.0,0.12910513786241298,INFL,0.13846800317552516,0.785070108828101
the_earthquake_across_central_mexico,the_earthquake_across_,The Earthquake Across Central Mexico,earthquake,outputs/_runs/routeB16_legacy_repro_pinned,5,13,8.0,1,32.0,0.24759529687456974,INFL,0.25048946838167174,0.3869447158247225
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,outputs/_runs/routeB16_legacy_repro_pinned,15,15,24.0,0,-8.0,0.18464417416993495,EVAC,-0.10368253121562307,0.5439554336665121
the_flooding_across_eastern_bangladesh,bangladesh_fld,The Flooding Across Eastern Bangladesh,flood,outputs/_runs/routeB16_legacy_repro_pinned,12,12,24.0,0,16.0,0.08444372699984097,INFL,0.06173985204288174,0.5486530819271921
the_flooding_across_gujarat_india,gujarat_fld,"The Flooding Across Gujarat, India",flood,outputs/_runs/routeB16_legacy_repro_pinned,8,8,24.0,0,16.0,0.1248691169593249,EVAC,-0.0781600835658264,0.6516885562177969
turkiye_earthquake_2023,turkiye,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs/_runs/routeB16_legacy_repro_pinned,36,36,24.0,0,16.0,0.40114008822652447,INFL,0.05663369481729249,0.5693644673300816
typhoon_yagi_across_northeastern_vietnam,yagi_vn,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/routeB16_legacy_repro_pinned,11,11,24.0,0,-8.0,0.2564811305157264,EVAC,-0.2739356164808162,0.2442661187901974
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,Wildfires In Boise County Idaho 27 August 2024,wildfire,outputs/_runs/routeB16_legacy_repro_pinned,15,15,24.0,0,136.0,0.13709144407795817,INFL,0.04030056317673659,0.351065603851145
