slug,short_name,disaster_type,event_type,n_pts,best_model,BIC_power,BIC_exp,BIC_strexp,dBIC_power,dBIC_exp,dBIC_strexp,alpha_power,tau_exp,tau_strexp,beta_strexp
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,4,stretched_exp,-25.041022125028057,-27.68013775127283,-36.48170500651204,11.44068288148398,8.801567255239206,0.0,0.09254598528208464,490.801771761882,176.3120772711559,2.9999999999999996
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,5,exponential,-32.24454262269875,-33.75654269671816,-32.26147167808423,1.5120000740194044,0.0,1.4950710186339293,0.5495036046368382,93.21345914578798,80.70960122098928,0.8089075209556028
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,6,power_law,-46.39555501116726,-34.998145154411006,-44.415810817630486,0.0,11.397409856756255,1.9797441935367743,0.6206148465608203,88.9547716820297,1.8863286952264837,0.2663329200236331
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,6,exponential,-33.04168452867959,-38.68356160169335,-37.02305780971435,5.6418770730137595,0.0,1.6605037919789964,0.3864537562222226,154.2095396438208,149.66291138239336,0.8930449608865398
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,3,power_law,-37.00609840332907,-23.49248998671551,-24.50284739431924,0.0,13.513608416613561,12.50325100900983,-0.018836607859422587,1999.9999999836605,1999.9796441967364,0.010000000000000002
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,3,power_law,-21.379168126471402,-20.326535978382243,-20.204183919782473,0.0,1.0526321480891596,1.1749842066889293,0.08496555880639672,573.5832957584773,1.0000000000040086,0.06576998178816763
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,3,stretched_exp,-14.465339126759185,-15.706250814950854,-18.49961846676566,4.034279340006476,2.7933676518148065,0.0,0.1894829782659385,203.44191882460765,110.52338559778799,2.999999999999998
moldova_flooding_2024,moldova,flood,INFL,4,power_law,-28.598152850034886,-26.988728643866313,-27.072719490240125,0.0,1.6094242061685726,1.5254333597947607,0.1844977490088152,280.935053291967,1.0000000000008522,0.117239313068072
spain_flood,spain_flood,flood,INFL,4,stretched_exp,-30.785570299342275,-34.85415494588469,-36.45577570583261,5.670205406490332,1.6016207599479202,0.0,0.2599732773653698,189.02252984070705,195.285183082986,0.6790513770583652
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,4,power_law,-25.274726348331313,-25.009060199240384,-23.98599493653201,0.0,0.26566614909092934,1.2887314117993043,0.33875475758574514,148.8229809011632,40.70391779419932,0.3228994687230404
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,5,exponential,-27.651081050396552,-37.36688074231122,-36.393795065999626,9.715799691914665,0.0,0.9730856763115909,0.7323593968126568,50.65508752854691,38.42401486352977,0.8032561600879687
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,5,stretched_exp,-34.44669590480982,-38.23172597224911,-39.63709825702073,5.19040235221091,1.405372284771623,0.0,0.155349781903638,333.313725992481,201.88790655983897,2.2279364251595704
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,6,stretched_exp,-33.0540035500139,-37.42066756530826,-38.38218159562061,5.328178045606705,0.961514030312351,0.0,0.14752945533792813,398.69737956307415,246.38491488656788,2.0954829524642142
turkiye_earthquake_2023,turkiye,earthquake,INFL,4,power_law,-30.68903598246368,-28.833784184944715,-29.59734608626221,0.0,1.8552517975189637,1.0916898962014692,0.2209610398689195,227.00707115432067,77.61564402787037,0.2518613756953819
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,5,stretched_exp,-27.246687123682165,-29.93908396106437,-41.60067005824496,14.353982934562794,11.661586097180589,0.0,0.6246647378938219,61.785986992100256,3.722510362556994,0.3411898434054347
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,3,power_law,-23.494280771064755,-21.814193560738193,-22.17103356859866,0.0,1.6800872103265618,1.3232472024660957,0.18917384038609542,242.56460076057945,1.0000000000000375,0.11990122203948826
