group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,10,0.7656949001323079,0.11949327185259781,0.15605859701031052,good
all,0.5,1.0,13,0.6803497685261124,0.11403153125711823,0.16760721695276304,good
all,1.0,1.5,16,0.5697083418424824,0.19243699018608304,0.33778159112735895,medium
all,1.5,2.0,5,0.43159161315860184,0.2110919291799765,0.48910109173600685,medium
all,2.0,2.5,8,0.316749279029376,0.11305328512342572,0.3569172610900905,medium
all,2.5,3.0,4,0.2532944090157369,0.17800100274429664,0.7027435127209525,bad
EVAC,0.0,0.5,1,0.8394111379800111,,,insufficient
EVAC,0.5,1.0,4,0.6882044420623447,0.10544213145250977,0.15321338400044465,good
EVAC,1.0,1.5,5,0.4406379983911365,0.13335928033847164,0.30265043147752774,medium
EVAC,1.5,2.0,3,0.30181734740245747,0.06411260040165237,0.21242185365893368,good
EVAC,2.0,2.5,4,0.2357019247492818,0.08088485013276132,0.34316584482201085,medium
EVAC,2.5,3.0,3,0.1702811019871379,0.07860840034001404,0.46163901585480516,medium
INFL,0.0,0.5,8,0.7451527442887788,0.12620034290885143,0.16936170989923022,good
INFL,0.5,1.0,8,0.6823027355172797,0.13103645389252153,0.19205031296434388,good
INFL,1.0,1.5,10,0.6441438797465289,0.19317152751954855,0.299888788193659,good
INFL,1.5,2.0,1,0.7740842649246834,,,insufficient
INFL,2.0,2.5,3,0.4185973685151187,0.07777790139178817,0.1858059969838989,good
INFL,2.5,3.0,0,,,,insufficient
