distance_band,class,mean_dev_0_early,t_peak_hours,phi_at_peak,abs_dev_at_peak,n_points_total,max_abs_dev
0-25km,inflow,0.36455047469648627,160.0,1.709358848355012,0.709358848355012,35,0.709358848355012
25-50km,outflow,-0.3371994270531486,16.0,0.5824343106731931,0.41756568932680693,35,0.41756568932680693
50-100km,outflow,-0.17669481187079786,16.0,0.6455144474789006,0.35448555252109937,35,0.35448555252109937
100-200km,outflow,-0.20809065691365528,16.0,0.6954608789641711,0.3045391210358289,35,0.3045391210358289
200km+,inflow,0.0446360902536865,160.0,1.096752667856948,0.09675266785694792,35,0.13657420523135766
