quadkey,is_pre_hub,is_post_hub,is_new_hub,degree_pre,degree_post,lat,lon,distance_to_epicenter_km,hub_pre_hours_since_quake,hub_post_hours_since_quake
12032322233112,0,1,1,5.0,91.0,41.08763160293221,28.795166015625,832.590388510451,-8.0,16.0
12032322233130,0,1,1,7.0,85.0,41.07106860910099,28.795166015625,831.7036709208569,-8.0,16.0
12032322233131,0,1,1,8.0,80.0,41.07106860910099,28.817138671875,830.0889858496826,-8.0,16.0
12210111232210,0,1,1,1.0,73.0,39.96870022636765,32.750244140625,484.79441018156837,-8.0,16.0
12210113010010,0,1,1,1.0,68.0,39.90130806741598,32.750244140625,480.1647496451165,-8.0,16.0
12210111232032,0,1,1,2.0,67.0,39.98553789620646,32.750244140625,485.9622473098484,-8.0,16.0
12210111232213,0,1,1,8.0,59.0,39.95185840813495,32.772216796875,482.16303295596435,-8.0,16.0
12210031030320,0,1,1,3.0,55.0,38.43637909011187,27.169189453125,877.3478594022037,-8.0,16.0
12210111232332,0,1,1,5.0,51.0,39.9181623282233,32.838134765625,475.4325034208242,-8.0,16.0
12032322323333,0,1,1,7.0,49.0,40.988191041999,29.168701171875,799.8436003177806,-8.0,16.0
12032322322021,0,1,1,5.0,46.0,41.07106860910099,28.861083984375,826.8631232155319,-8.0,16.0
12210031030302,0,1,1,9.0,46.0,38.45358819598149,27.169189453125,877.5549651029565,-8.0,16.0
12210131221200,0,1,1,1.0,46.0,37.91820060912576,32.530517578125,405.35231476467936,-8.0,16.0
12032322323331,0,1,1,8.0,45.0,41.00477490069208,29.168701171875,800.7524870035196,-8.0,16.0
12210111232321,0,1,1,2.0,45.0,39.935012441941815,32.816162109375,478.0657506909831,-8.0,16.0
12210113010103,0,1,1,6.0,45.0,39.88444965995798,32.816162109375,474.57722849693596,-8.0,16.0
12210100302300,0,1,1,3.0,43.0,40.23760484645008,28.927001953125,781.0261804978155,-8.0,16.0
12210111232023,0,1,1,4.0,42.0,39.98553789620646,32.728271484375,487.42525019458344,-8.0,16.0
12210131221022,0,1,1,2.0,42.0,37.93553255111769,32.530517578125,405.7046442353502,-8.0,16.0
12210131221201,0,1,1,0.0,42.0,37.91820060912576,32.55249023437501,403.45672098161066,-8.0,16.0
12210111232220,0,1,1,0.0,41.0,39.935012441941815,32.70629882812501,485.4234475706195,-8.0,16.0
12210131221023,0,1,1,1.0,41.0,37.93553255111769,32.552490234375,403.8111495823302,-8.0,16.0
12210031030323,0,1,1,6.0,40.0,38.41916588113755,27.191162109375,875.2411874321923,-8.0,16.0
12210100111203,0,1,1,0.0,40.0,40.88860029069413,29.388427734375,778.3264273707354,-8.0,16.0
12032322233301,0,1,1,8.0,39.0,41.03793010084351,28.773193359375,831.5590063490204,-8.0,16.0
12032322332222,0,1,1,2.0,39.0,40.988191041999,29.190673828125004,798.2386225602835,-8.0,16.0
12210100302320,0,1,1,0.0,39.0,40.20404990582556,28.927001953125,779.5598432688937,-8.0,16.0
12210111223321,0,1,1,9.0,39.0,39.935012441941815,32.640380859375,489.874299565403,-8.0,16.0
12210111232030,0,1,1,0.0,39.0,40.00237141721941,32.75024414062501,487.13418274537355,-8.0,16.0
12210111232211,0,1,1,9.0,39.0,39.96870022636765,32.772216796875,483.3306247401281,-8.0,16.0
12210111232322,0,1,1,2.0,38.0,39.9181623282233,32.794189453125,478.36797507238117,-8.0,16.0
12210031030331,0,1,1,4.0,37.0,38.43637909011187,27.235107421875,871.6399765023347,-8.0,16.0
12210100113021,0,1,1,8.0,37.0,40.80549332287863,29.388427734375,773.8065319272661,-8.0,16.0
12210031021130,0,1,1,5.0,36.0,38.5051908892296,27.037353515625,889.5971998250938,-8.0,16.0
12210111232202,0,1,1,3.0,36.0,39.95185840813495,32.706298828125,486.57523789041903,-8.0,16.0
12032322232133,0,1,1,3.0,35.0,41.05450144162682,28.641357421875,842.1694124809377,-8.0,16.0
12210031031202,0,1,1,6.0,35.0,38.45358819598149,27.257080078125,869.9482732957892,-8.0,16.0
12210101012231,0,1,1,2.0,35.0,40.73893272030042,29.959716796875004,728.3903722614397,-8.0,16.0
12210123312212,0,1,1,8.0,35.0,36.92354717522953,30.640869140625,567.7704569474175,-8.0,16.0
12210131221100,0,1,1,1.0,35.0,37.98750386011261,32.618408203125,399.26883574944395,-8.0,16.0
12032322321222,0,1,1,4.0,34.0,41.12074506833797,29.014892578125004,818.3433977004818,-8.0,16.0
12210031031220,0,1,1,6.0,34.0,38.43637909011187,27.257080078125,869.7375453836557,-8.0,16.0
12210120323033,0,1,1,9.0,34.0,37.79676266673158,29.080810546875,704.7583801181095,-8.0,16.0
12210101012213,0,1,1,5.0,33.0,40.75557912187504,29.959716796875,729.3367973653314,-8.0,16.0
12210031013122,0,1,1,6.0,32.0,38.62545345842448,27.344970703125,864.7124131355057,-8.0,16.0
12210100111202,0,1,1,1.0,32.0,40.88860029069413,29.366455078125,779.933432352174,-8.0,16.0
12210100111221,0,1,1,0.0,32.0,40.87198723550495,29.388427734375,777.416251879427,-8.0,16.0
12210100113023,0,1,1,8.0,32.0,40.78885942352399,29.388427734375,772.9119183670344,-8.0,16.0
12210131221102,0,1,1,0.0,32.0,37.970184177231616,32.618408203125,398.8814182700567,-8.0,16.0
12210131221013,0,1,1,0.0,31.0,37.970184177231616,32.596435546875,400.76926904432287,-8.0,16.0
12210131221032,0,1,1,0.0,31.0,37.93553255111769,32.57446289062501,401.91805795672315,-8.0,16.0
12032233211321,0,1,1,9.0,30.0,41.401535060397215,27.366943359375,954.5972986834676,-8.0,16.0
12032233330212,0,1,1,8.0,30.0,41.15384183520319,27.828369140625004,907.8312056145435,-8.0,16.0
12032322322020,0,1,1,2.0,30.0,41.07106860910099,28.839111328125,828.4754676391078,-8.0,16.0
12210031021132,0,1,1,1.0,30.0,38.48799409611199,27.037353515625,889.3834697861791,-8.0,16.0
12210031032033,0,1,1,7.0,30.0,38.35027202573134,27.147216796875004,878.2804084290209,-8.0,16.0
12210100110201,0,1,1,9.0,30.0,40.90520917599379,29.212646484375,792.1132108430006,-8.0,16.0
12210100113000,0,1,1,7.0,30.0,40.838748616860215,29.366455078125,777.2189837965059,-8.0,16.0
12032322233101,0,1,1,8.0,29.0,41.10419042278815,28.773193359374996,835.091605719923,-8.0,16.0
12210031012200,0,1,1,9.0,29.0,38.60828541490896,27.081298828125,887.1748823086622,-8.0,16.0
12210031031221,0,1,1,4.0,29.0,38.43637909011187,27.279052734375,867.8352137769105,-8.0,16.0
12210100321100,0,1,1,9.0,29.0,40.17047834799656,29.102783203125,764.3631766498752,-8.0,16.0
12032322323000,0,1,1,3.0,28.0,41.10419042278815,29.014892578125,817.4294372331544,-8.0,16.0
12032322332233,0,1,1,8.0,28.0,40.988191041999,29.256591796875,793.431279723681,-8.0,16.0
12210031030313,0,1,1,9.0,28.0,38.45358819598149,27.235107421875,871.8497944897009,-8.0,16.0
12210031032103,0,1,1,9.0,28.0,38.3847271561792,27.191162109375,874.8454972352833,-8.0,16.0
12210031211003,0,1,1,5.0,28.0,38.246808248089046,27.279052734375,865.7786499931021,-8.0,16.0
12210100111232,0,1,1,1.0,28.0,40.85537001077644,29.410400390625004,774.8988912048187,-8.0,16.0
12210100113022,0,1,1,9.0,28.0,40.78885942352399,29.366455078125,774.5325358581879,-8.0,16.0
12210100113120,0,1,1,6.0,28.0,40.80549332287863,29.454345703125,768.9590530028041,-8.0,16.0
12210100113201,0,1,1,9.0,28.0,40.77222135640309,29.388427734375,772.0204598483942,-8.0,16.0
12210100302302,0,1,1,8.0,28.0,40.220829453493806,28.927001953125,780.291226388469,-8.0,16.0
12210100303210,0,1,1,2.0,28.0,40.23760484645008,29.058837890625,770.7615360332852,-8.0,16.0
12210111232200,0,1,1,9.0,28.0,39.96870022636765,32.706298828125,487.7312084911031,-8.0,16.0
12210111232233,0,1,1,0.0,28.0,39.9181623282233,32.77221679687499,479.8403728634955,-8.0,16.0
12032322233022,0,1,1,9.0,27.0,41.05450144162682,28.663330078125,840.5446715614818,-8.0,16.0
12210031030333,0,1,1,1.0,27.0,38.41916588113755,27.235107421875,871.4342354751109,-8.0,16.0
12210031032213,0,1,1,6.0,27.0,38.31580049444484,27.147216796875004,877.9207613741908,-8.0,16.0
12210100110301,0,1,1,7.0,27.0,40.90520917599379,29.300537109375,785.6663110436864,-8.0,16.0
12210131220320,0,1,1,7.0,27.0,37.8835244703868,32.442626953125,412.276138933957,-8.0,16.0
12211032300311,0,1,1,7.0,27.0,37.08147514220075,37.430419921875,36.7896568724482,-8.0,16.0
12032322232332,0,1,1,9.0,26.0,40.988191041999,28.619384765625,840.3560358480956,-8.0,16.0
12032322233120,0,1,1,6.0,26.0,41.07106860910099,28.751220703125,834.9365141815583,-8.0,16.0
12210100302121,0,1,1,5.0,26.0,40.27114316659237,28.948974609375004,780.7978346108902,-8.0,16.0
12210100320100,0,1,1,3.0,26.0,40.17047834799656,28.927001953125,778.1078435379627,-8.0,16.0
12210111232203,0,1,1,3.0,26.0,39.95185840813495,32.728271484375,485.1014507188535,-8.0,16.0
12210131222111,0,1,1,9.0,26.0,37.848831996146686,32.50854492187501,405.9349319149811,-8.0,16.0
12210131223000,0,1,1,9.0,26.0,37.848831996146686,32.530517578125,404.03100639317097,-8.0,16.0
12210310110020,0,1,1,9.0,26.0,36.55377473943434,32.003173828125,452.6067766695957,-8.0,16.0
12032322232113,0,1,1,3.0,25.0,41.08763160293221,28.641357421875004,843.9106089040185,-8.0,16.0
12032322232131,0,1,1,8.0,25.0,41.07106860910099,28.641357421875,843.0385667910908,-8.0,16.0
12032322233303,0,1,1,8.0,25.0,41.02135458708634,28.773193359375,830.6831248385635,-8.0,16.0
12033223331001,0,1,1,2.0,25.0,41.23651067913369,36.419677734375,454.7973225693738,-8.0,16.0
12210031030022,0,1,1,8.0,25.0,38.48799409611199,27.081298828125,885.5823386474974,-8.0,16.0
12210031030132,0,1,1,6.0,25.0,38.48799409611199,27.213134765625,874.1814211844784,-8.0,16.0
12210031332013,0,1,1,9.0,25.0,37.83147963478445,27.850341796875,812.9075562044981,-8.0,16.0
12210100110010,0,1,1,8.0,25.0,40.971603011346815,29.234619140625,794.1198709464552,-8.0,16.0
12210100303032,0,1,1,9.0,25.0,40.25437608428542,29.058837890625,771.5123817388674,-8.0,16.0
12210100331313,0,1,1,8.0,25.0,40.086476774885625,29.520263671875,728.1041124015886,-8.0,16.0
12210100331331,0,1,1,8.0,25.0,40.0696640044274,29.520263671875004,727.3453120330795,-8.0,16.0
12210111223312,0,1,1,4.0,25.0,39.95185840813495,32.662353515625,489.5318305606064,-8.0,16.0
12210111223330,0,1,1,6.0,25.0,39.935012441941815,32.662353515625,488.3877269532493,-8.0,16.0
12210111232022,0,1,1,5.0,25.0,39.98553789620646,32.706298828125,488.89132439623717,-8.0,16.0
12210111233202,0,1,1,7.0,25.0,39.95185840813495,32.882080078125,474.8717252166479,-8.0,16.0
12210113011100,0,1,1,9.0,25.0,39.90130806741598,32.969970703125,465.5119744994839,-8.0,16.0
12210123310201,0,1,1,0.0,25.0,37.08147514220075,30.618896484375,568.5371609491417,-8.0,16.0
12032322232130,0,1,1,2.0,24.0,41.07106860910099,28.619384765625,844.6623431397362,-8.0,16.0
12032322233020,0,1,1,7.0,24.0,41.07106860910099,28.663330078125,841.4159036070713,-8.0,16.0
12210031030032,0,1,1,9.0,24.0,38.48799409611199,27.125244140625004,881.7816160437418,-8.0,16.0
12210031032101,0,1,1,6.0,24.0,38.40194856963421,27.191162109375,875.0413065013589,-8.0,16.0
12210100111230,0,1,1,1.0,24.0,40.87198723550495,29.410400390625,775.8082600086468,-8.0,16.0
12210100113210,0,1,1,8.0,24.0,40.77222135640309,29.410400390625004,770.3988216476346,-8.0,16.0
12210100130122,0,1,1,8.0,24.0,40.65563821945469,29.278564453125004,774.0750217597728,-8.0,16.0
12210101003332,0,1,1,7.0,24.0,40.72228215204135,29.849853515625004,735.4372092474696,-8.0,16.0
12210131221223,0,1,1,3.0,24.0,37.866180274890645,32.55249023437501,402.44641140867066,-8.0,16.0
12211021001332,0,1,1,7.0,24.0,38.694084533625,35.474853515625,217.29227002996532,-8.0,16.0
12032322233212,0,1,1,9.0,23.0,41.02135458708634,28.707275390625004,835.5564510960053,-8.0,16.0
12032322322003,0,1,1,5.0,23.0,41.08763160293221,28.861083984375,827.75621863503,-8.0,16.0
12032322323311,0,1,1,5.0,23.0,41.03793010084351,29.168701171875,802.5791407511082,-8.0,16.0
12210031032302,0,1,1,1.0,23.0,38.31580049444484,27.169189453125,876.0118872119085,-8.0,16.0
12210100113011,0,1,1,2.0,23.0,40.838748616860215,29.432373046875,772.3813554105441,-8.0,16.0
12210100312202,0,1,1,9.0,23.0,40.220829453493806,29.190673828125,759.7698228108017,-8.0,16.0
12210101102333,0,1,1,2.0,23.0,40.72228215204135,30.399169921875004,695.8618449467731,-8.0,16.0
12210103112021,0,1,1,2.0,23.0,39.73253746660863,30.618896484375,626.5151850589699,-8.0,16.0
12210111223023,0,1,1,3.0,23.0,39.98553789620646,32.552490234375,499.2375537219659,-8.0,16.0
12210111232033,0,1,1,4.0,23.0,39.98553789620646,32.772216796875,484.5023436487227,-8.0,16.0
12032232131230,0,1,1,9.0,22.0,41.66470450700676,26.597900390625,1024.9586286331794,-8.0,16.0
12032322232333,0,1,1,7.0,22.0,40.988191041999,28.641357421875007,838.7219136206088,-8.0,16.0
12032322233210,0,1,1,7.0,22.0,41.03793010084351,28.707275390625,836.4260366133963,-8.0,16.0
12210031003333,0,1,1,6.0,22.0,38.556756633966,27.059326171875,888.3653076964983,-8.0,16.0
12210031032320,0,1,1,6.0,22.0,38.29855857994757,27.169189453125,875.8373542025137,-8.0,16.0
12210100100010,0,1,1,9.0,22.0,40.971603011346815,28.883056640625004,819.941908701536,-8.0,16.0
12210100101123,0,1,1,9.0,22.0,40.92181389105531,29.124755859375004,799.4693297822463,-8.0,16.0
12210100331312,0,1,1,9.0,22.0,40.086476774885625,29.498291015625007,729.8120784131911,-8.0,16.0
12210101003213,0,1,1,8.0,22.0,40.75557912187504,29.783935546875,742.0989636149365,-8.0,16.0
12210101102332,0,1,1,6.0,22.0,40.72228215204135,30.377197265625,697.4260864437364,-8.0,16.0
12210103101321,0,1,1,7.0,22.0,39.80009543834965,30.531005859375,636.5051948056196,-8.0,16.0
12210113010121,0,1,1,8.0,22.0,39.86758710628892,32.816162109375,473.42292966617003,-8.0,16.0
12210113011002,0,1,1,8.0,22.0,39.88444965995798,32.882080078125,470.16439925576196,-8.0,16.0
12210120323030,0,1,1,5.0,22.0,37.81412319143514,29.058837890625,706.7958472239588,-8.0,16.0
12210123330003,0,1,1,9.0,22.0,36.853251717941454,30.618896484375004,570.414844987526,-8.0,16.0
12032322232213,0,1,1,6.0,21.0,41.02135458708634,28.553466796875004,846.9662775728891,-8.0,16.0
12032322233102,0,1,1,3.0,21.0,41.08763160293221,28.751220703125,835.8190094834848,-8.0,16.0
12032322233333,0,1,1,1.0,21.0,40.988191041999,28.817138671875,825.6885049443282,-8.0,16.0
12210031032002,0,1,1,9.0,21.0,38.3847271561792,27.081298828125,884.373262855003,-8.0,16.0
12210100110100,0,1,1,8.0,21.0,40.971603011346815,29.278564453124996,790.9143225616725,-8.0,16.0
12210100231101,0,1,1,0.0,21.0,40.17047834799656,28.773193359375004,790.1789562989828,-8.0,16.0
12210101003302,0,1,1,9.0,21.0,40.75557912187504,29.805908203125,740.498733415873,-8.0,16.0
12210101102330,0,1,1,5.0,21.0,40.73893272030042,30.377197265625,698.4173168881804,-8.0,16.0
12210101102331,0,1,1,4.0,21.0,40.73893272030042,30.399169921875,696.8556827890914,-8.0,16.0
12210103103103,0,1,1,9.0,21.0,39.74943317395265,30.531005859375,634.1230152463834,-8.0,16.0
12210103112012,0,1,1,7.0,21.0,39.74943317395265,30.640869140625,625.6106234997831,-8.0,16.0
12210103112013,0,1,1,8.0,21.0,39.74943317395265,30.662841796875,623.9117558357957,-8.0,16.0
12210111223032,0,1,1,8.0,21.0,39.98553789620646,32.574462890625,497.75073886822605,-8.0,16.0
12210111223120,0,1,1,5.0,21.0,40.00237141721941,32.618408203125,495.9347617193051,-8.0,16.0
12210111233000,0,1,1,4.0,21.0,40.0360260110476,32.882080078125,480.84852478614494,-8.0,16.0
12210123313220,0,1,1,8.0,21.0,36.90597937942313,30.772705078125,556.2565537119353,-8.0,16.0
12210131222112,0,1,1,5.0,21.0,37.83147963478445,32.486572265625,407.53475235454255,-8.0,16.0
12211022320302,0,1,1,7.0,21.0,36.78289155685636,34.552001953125,224.54109398716625,-8.0,16.0
12211200003200,0,1,1,9.0,21.0,36.37706733686381,33.936767578125,289.55418582160223,-8.0,16.0
12032233211320,0,1,1,7.0,20.0,41.401535060397215,27.344970703125004,956.2401043989279,-8.0,16.0
12032233313200,0,1,1,4.0,20.0,41.30257057203537,27.960205078125,905.4613685658067,-8.0,16.0
12032233330201,0,1,1,3.0,20.0,41.170383955864295,27.806396484375,910.2937142539705,-8.0,16.0
12032322233121,0,1,1,1.0,20.0,41.07106860910099,28.773193359375,833.319515974736,-8.0,16.0
12032322332213,0,1,1,6.0,20.0,41.02135458708634,29.256591796875,795.2698532538835,-8.0,16.0
12210031021113,0,1,1,8.0,20.0,38.52238357695594,27.059326171875004,887.9161180837268,-8.0,16.0
12210100110322,0,1,1,9.0,20.0,40.85537001077644,29.278564453125004,784.5795165385439,-8.0,16.0
12210100111233,0,1,1,1.0,20.0,40.85537001077644,29.432373046875,773.2899080162255,-8.0,16.0
12210100303033,0,1,1,2.0,20.0,40.25437608428542,29.080810546875,769.8068376673915,-8.0,16.0
12210101012300,0,1,1,9.0,20.0,40.77222135640309,29.981689453125,728.7001118190999,-8.0,16.0
12210101030010,0,1,1,7.0,20.0,40.705627417461386,29.937744140625,728.104817904326,-8.0,16.0
12210101103022,0,1,1,8.0,20.0,40.78885942352399,30.421142578125,698.3043988942597,-8.0,16.0
12210103103011,0,1,1,6.0,20.0,39.7663247386586,30.487060546875,638.3208812752191,-8.0,16.0
12210111231302,0,1,1,2.0,20.0,40.086476774885625,32.96997070312501,478.8344025269201,-8.0,16.0
12210111232031,0,1,1,1.0,20.0,40.00237141721941,32.772216796875,485.6781544524538,-8.0,16.0
12210111232120,0,1,1,5.0,20.0,40.00237141721941,32.794189453125,484.2252674648824,-8.0,16.0
12210111232201,0,1,1,7.0,20.0,39.96870022636765,32.728271484375,486.2612807383916,-8.0,16.0
12210120323012,0,1,1,2.0,20.0,37.83147963478445,29.058837890625,706.9108915057668,-8.0,16.0
12210123331003,0,1,1,8.0,20.0,36.853251717941454,30.794677734375,554.8475876767317,-8.0,16.0
12210131221203,0,1,1,0.0,20.0,37.90086458200727,32.552490234375,403.1111023629327,-8.0,16.0
12210131222113,0,1,1,8.0,20.0,37.83147963478445,32.508544921875,405.62863962852066,-8.0,16.0
12032233313220,0,1,1,4.0,19.0,41.269548980650846,27.960205078125,903.771414531762,-8.0,16.0
12032322231323,0,1,1,5.0,19.0,41.12074506833797,28.773193359374996,835.9819624638469,-8.0,16.0
12032322321221,0,1,1,5.0,19.0,41.137295539252285,29.036865234375,817.6662521905888,-8.0,16.0
12032322323220,0,1,1,3.0,19.0,41.00477490069208,29.014892578125,812.0066129823899,-8.0,16.0
12032332133111,0,1,1,9.0,19.0,41.631866887682655,32.33276367187501,639.0990327135618,-8.0,16.0
12033322232223,0,1,1,9.0,19.0,40.988191041999,39.759521484375,485.01303437689984,-8.0,16.0
12210013021121,0,1,1,8.0,19.0,39.59722272764313,27.015380859375,913.0943045944477,-8.0,16.0
12210013130101,0,1,1,9.0,19.0,39.63107625265483,27.894287109375004,841.3514721092657,-8.0,16.0
12210031021110,0,1,1,8.0,19.0,38.5395721587234,27.037353515625,890.036591289331,-8.0,16.0
12210031030311,0,1,1,3.0,19.0,38.47079319817235,27.235107421875,872.063683502305,-8.0,16.0
12210100110103,0,1,1,5.0,19.0,40.95501080907676,29.300537109375004,788.397151819504,-8.0,16.0
12210100113001,0,1,1,8.0,19.0,40.838748616860215,29.388427734374996,775.6051671745402,-8.0,16.0
12210100113121,0,1,1,0.0,19.0,40.80549332287863,29.476318359375,767.3457791277351,-8.0,16.0
12210101012312,0,1,1,5.0,19.0,40.75557912187504,30.025634765625,724.5748846242918,-8.0,16.0
12210103112002,0,1,1,3.0,19.0,39.74943317395265,30.596923828125,629.0119991015969,-8.0,16.0
12210103112003,0,1,1,5.0,19.0,39.74943317395265,30.618896484375004,627.3107079092389,-8.0,16.0
12210111223033,0,1,1,7.0,19.0,39.98553789620646,32.596435546875,496.2668075582597,-8.0,16.0
12210122023210,0,1,1,8.0,19.0,37.221579951029895,28.355712890625004,768.2314158865368,-8.0,16.0
12210123312121,0,1,1,8.0,19.0,36.97622627851264,30.706787109375,561.4766348076005,-8.0,16.0
12210123312223,0,1,1,8.0,19.0,36.88840753745855,30.618896484375,570.0525977156333,-8.0,16.0
12210123330002,0,1,1,6.0,19.0,36.853251717941454,30.596923828125,572.3608384002035,-8.0,16.0
12210131222101,0,1,1,5.0,19.0,37.848831996146686,32.464599609375,409.7437104352611,-8.0,16.0
12210131222103,0,1,1,5.0,19.0,37.83147963478445,32.464599609375,409.4411561951284,-8.0,16.0
12210301102212,0,1,1,7.0,19.0,36.35937445313936,30.289306640625,607.2679826042507,-8.0,16.0
12211022320231,0,1,1,6.0,19.0,36.76529141207355,34.530029296875,226.86513869430695,-8.0,16.0
12032233313201,0,1,1,4.0,18.0,41.30257057203537,27.982177734375004,903.8338878164006,-8.0,16.0
12032322233122,0,1,1,4.0,18.0,41.05450144162682,28.751220703125,834.0569127556217,-8.0,16.0
12032322321232,0,1,1,3.0,18.0,41.12074506833797,29.058837890625,815.1523422175175,-8.0,16.0
12032322323021,0,1,1,9.0,18.0,41.07106860910099,29.036865234375004,814.0074716345356,-8.0,16.0
12032322323210,0,1,1,8.0,18.0,41.03793010084351,29.058837890625,810.589641149062,-8.0,16.0
12033223312302,0,1,1,9.0,18.0,41.28606186526719,36.309814453125,461.4467878379483,-8.0,16.0
12033232220131,0,1,1,6.0,18.0,41.20345567001873,36.727294921875,448.8229895369803,-8.0,16.0
12210031030020,0,1,1,5.0,18.0,38.5051908892296,27.081298828125,885.7978888798609,-8.0,16.0
12210031031331,0,1,1,5.0,18.0,38.43637909011187,27.410888671875,856.4233570293328,-8.0,16.0
12210100113100,0,1,1,1.0,18.0,40.838748616860215,29.454345703125,770.7713764419866,-8.0,16.0
12210100302203,0,1,1,2.0,18.0,40.220829453493806,28.861083984375004,785.4414884213476,-8.0,16.0
12210100303333,0,1,1,5.0,18.0,40.187266203855806,29.168701171875,759.9703351640823,-8.0,16.0
12210101012201,0,1,1,9.0,18.0,40.77222135640309,29.915771484375,733.4634847340274,-8.0,16.0
12210101012331,0,1,1,9.0,18.0,40.73893272030042,30.047607421875004,722.0342493274446,-8.0,16.0
12210103103013,0,1,1,3.0,18.0,39.74943317395265,30.487060546875,637.5362150660995,-8.0,16.0
12210110001232,0,1,1,7.0,18.0,40.85537001077644,31.168212890624996,651.0544861499117,-8.0,16.0
12210111223201,0,1,1,4.0,18.0,39.96870022636765,32.552490234375,498.10401666106037,-8.0,16.0
12210111231230,0,1,1,6.0,18.0,40.0696640044274,32.926025390625,480.42852716103096,-8.0,16.0
12210113010132,0,1,1,7.0,18.0,39.85072040685004,32.838134765625,470.7909529515215,-8.0,16.0
12210113110122,0,1,1,9.0,18.0,39.85072040685004,33.49731445312499,427.9126975112709,-8.0,16.0
12210131221002,0,1,1,6.0,18.0,37.970184177231616,32.530517578125,406.4355025486464,-8.0,16.0
