window_start_pt,hours_since_quake,n_tiles,corr_phi_vs_net_inflow
2023-02-05 08:00:00,-8.0,27776,0.007156233693563443
2023-02-06 08:00:00,16.0,29780,0.01733860159060812
2023-02-07 08:00:00,40.0,29944,0.012330107212146866
2023-02-09 08:00:00,88.0,30487,0.009510760314520575
2023-02-12 08:00:00,160.0,30362,0.008214553340609916
2023-02-19 08:00:00,328.0,29521,0.003276025705939579
2023-03-12 08:00:00,832.0,30724,-0.00011764607414155157
