destination_quadkey,long_distance_inflow
12032233330203,842.0
12032322233202,750.0
12210111223213,668.0
12210111223212,654.0
12032322322001,560.0
12210100303233,546.0
12210100303230,536.0
12032322233201,507.0
12032322322220,507.0
12032322233203,493.0
12210100303322,490.0
12032322231122,440.0
12210111233300,435.0
12032233211321,427.0
12032322233200,421.0
12210111233020,404.0
12210100303232,393.0
12032322233321,384.0
12210111223303,375.0
12210111223321,370.0
