r_bin_km,phi_mean,n_tiles_mean,n_tiles_crisis_mean,n_tiles_overlap_mean,n_eff_mean,r_center_km,abs_dev
0.0,1.0676365030621784,905.25,902.25,830.5,902.25,5.0,0.06763650306217839
10.0,1.044432682185298,718.75,735.0,647.25,718.75,15.0,0.044432682185298056
20.0,1.1261793605380463,739.5,731.75,672.75,731.75,25.0,0.12617936053804635
30.0,1.0534583203307784,794.0,733.0,679.5,733.0,35.0,0.05345832033077835
40.0,1.0521513876093285,946.75,918.5,866.0,918.5,45.0,0.05215138760932847
50.0,1.0601066929862524,956.75,895.0,846.25,895.0,55.0,0.060106692986252375
60.0,1.0715489236730926,968.75,912.5,861.5,912.5,65.0,0.07154892367309262
70.0,1.0761198005256718,933.75,823.5,775.0,823.5,75.0,0.0761198005256718
80.0,1.0557930395668313,1132.25,984.75,933.75,984.75,85.0,0.05579303956683135
90.0,1.0591467045668752,1083.25,1027.75,982.0,1027.75,95.0,0.05914670456687521
100.0,1.0548474499036686,975.5,950.75,908.0,950.75,105.0,0.05484744990366863
110.0,1.038199720224827,866.0,796.75,761.75,796.75,115.0,0.03819972022482698
120.0,1.0551750843212577,902.0,811.75,771.0,811.75,125.0,0.05517508432125773
130.0,1.0710568517767585,1142.0,1077.5,1020.5,1077.5,135.0,0.07105685177675847
140.0,1.0826098533400146,1187.25,1161.5,1095.5,1161.5,145.0,0.08260985334001458
150.0,1.0502936252297912,1196.0,1149.0,1088.0,1149.0,155.0,0.050293625229791195
160.0,1.083674525489612,1553.5,1505.25,1447.75,1505.25,165.0,0.08367452548961207
170.0,1.0922722607508975,1638.0,1618.5,1558.75,1618.5,175.0,0.09227226075089745
180.0,1.0841526586531784,1876.75,1862.75,1802.25,1862.75,185.0,0.08415265865317845
190.0,1.0994815872345074,1719.25,1709.25,1637.25,1709.25,195.0,0.0994815872345074
200.0,1.1018489160766058,1504.0,1525.75,1456.25,1504.0,205.0,0.10184891607660584
210.0,1.1101944804000015,1335.75,1384.75,1301.5,1335.75,215.0,0.11019448040000146
220.0,1.1368629426363768,1194.0,1234.25,1154.5,1194.0,225.0,0.13686294263637677
230.0,1.1181399793821503,1118.25,1145.25,1063.25,1118.25,235.0,0.11813997938215026
240.0,1.097101487730486,1177.5,1211.0,1136.5,1177.5,245.0,0.0971014877304861
250.0,1.0823779287102697,1073.75,1088.0,1028.25,1073.75,255.0,0.08237792871026972
260.0,1.0862546598023408,1237.0,1258.0,1195.0,1237.0,265.0,0.08625465980234082
270.0,1.08774639220536,1351.75,1367.25,1310.75,1351.75,275.0,0.08774639220536007
280.0,1.099317594212537,1310.0,1335.0,1269.25,1310.0,285.0,0.09931759421253705
290.0,1.1093539250001578,1306.0,1328.75,1267.25,1306.0,295.0,0.10935392500015784
300.0,1.105693028076188,1198.25,1215.75,1166.5,1198.25,305.0,0.10569302807618808
310.0,1.103553909068538,1082.75,1103.0,1042.0,1082.75,315.0,0.10355390906853801
320.0,1.093854203255596,1168.25,1184.25,1127.5,1168.25,325.0,0.09385420325559601
330.0,1.0945326569312313,1028.75,1055.25,994.0,1028.75,335.0,0.09453265693123125
340.0,1.1067534953776095,862.0,890.75,836.0,862.0,345.0,0.10675349537760948
350.0,1.1080163473951652,774.5,798.0,752.5,774.5,355.0,0.10801634739516519
360.0,1.0785274250325076,783.25,822.25,759.75,783.25,365.0,0.07852742503250765
370.0,1.0490872239323081,782.0,817.5,762.0,782.0,375.0,0.04908722393230813
380.0,1.094476464968945,740.5,774.5,718.5,740.5,385.0,0.0944764649689449
390.0,1.0924984662546968,540.5,579.0,524.0,540.5,395.0,0.09249846625469682
400.0,1.111666332162044,644.5,683.75,627.0,644.5,405.0,0.11166633216204391
410.0,1.085803002994008,530.5,553.25,513.25,530.5,415.0,0.085803002994008
420.0,1.0944201536763607,618.5,636.75,604.75,618.5,425.0,0.0944201536763607
430.0,1.072139646205648,689.0,713.0,674.25,689.0,435.0,0.07213964620564806
440.0,1.070606585658261,697.5,735.0,680.0,697.5,445.0,0.07060658565826095
450.0,1.0982634044046446,698.25,713.75,679.75,698.25,455.0,0.09826340440464465
460.0,1.1042937808912563,534.25,550.5,524.0,534.25,465.0,0.1042937808912563
470.0,1.0945363480976857,417.75,421.75,403.5,417.75,475.0,0.09453634809768574
480.0,1.0829808578698197,273.5,289.25,262.0,273.5,485.0,0.08298085786981968
490.0,1.0878657167441788,156.5,176.0,150.5,156.5,495.0,0.08786571674417876
