slug,storm_name,r_bin_km,phi_mean,n_tiles_mean,n_tiles_crisis_mean,n_tiles_overlap_mean,baseline_sum_mean,crisis_sum_mean,n_eff_mean,r_center_km,abs_dev
hurricane_beryl_across_southeastern_texas_us,Beryl,0.0,0.9748098708817199,923.75,922.75,882.75,306372.0895536807,298486.3809186787,922.75,5.0,0.025190129118280113
hurricane_beryl_across_southeastern_texas_us,Beryl,10.0,0.8301653818379828,790.0,779.0,744.0,297578.24877956137,246956.74615146773,779.0,15.0,0.16983461816201717
hurricane_beryl_across_southeastern_texas_us,Beryl,20.0,0.8025618323722052,829.25,824.5,784.0,266745.39663646254,213990.75733051583,824.5,25.0,0.19743816762779476
hurricane_beryl_across_southeastern_texas_us,Beryl,30.0,0.8321287972596377,867.75,856.75,826.5,267651.9317364904,222744.05386976872,856.75,35.0,0.16787120274036227
hurricane_beryl_across_southeastern_texas_us,Beryl,40.0,0.8471562396538663,858.0,859.5,822.0,184567.83016243906,156303.75169733164,858.0,45.0,0.15284376034613367
hurricane_beryl_across_southeastern_texas_us,Beryl,50.0,0.9007116648072553,744.0,714.75,680.25,143806.9423853124,129490.95456724777,714.75,55.0,0.09928833519274471
hurricane_beryl_across_southeastern_texas_us,Beryl,60.0,0.9404775649143602,603.0,607.5,564.5,96024.39032158027,90287.62655634395,603.0,65.0,0.05952243508563981
hurricane_beryl_across_southeastern_texas_us,Beryl,70.0,0.9777350319178983,518.0,514.5,480.0,97740.23483360013,95559.29765053972,514.5,75.0,0.022264968082101655
hurricane_beryl_across_southeastern_texas_us,Beryl,80.0,0.9844656082483605,461.5,471.5,428.0,50342.18131194804,49558.72765777709,461.5,85.0,0.01553439175163951
hurricane_beryl_across_southeastern_texas_us,Beryl,90.0,0.9008946317539375,371.75,373.0,339.5,33194.39452576204,29902.089525642456,371.75,95.0,0.09910536824606253
hurricane_beryl_across_southeastern_texas_us,Beryl,100.0,0.9057012273630632,401.75,404.0,370.25,28657.602819291526,25940.510187005482,401.75,105.0,0.09429877263693676
hurricane_beryl_across_southeastern_texas_us,Beryl,110.0,0.9490364439987149,429.5,448.5,403.5,21456.287468159888,20361.828091062907,429.5,115.0,0.050963556001285104
hurricane_beryl_across_southeastern_texas_us,Beryl,120.0,0.9940821073271657,451.25,450.0,414.75,25116.681114938776,24965.62140443221,450.0,125.0,0.0059178926728342685
hurricane_beryl_across_southeastern_texas_us,Beryl,130.0,0.9810835064361035,422.75,426.0,392.0,33089.16725357672,32461.59817168182,422.75,135.0,0.018916493563896464
