slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs,near_delta_peak_windows_mean,D_inf_summary,n_time_windows,D_peak_summary,D_peak_snr,catalog_exclude_reason,route_b_exclude_via_catalog,route_b_exclude_via_cli,quality_short_windows,quality_short_post_peak,quality_low_signal,quality_low_snr,quality_missing_near_delta,analysis_n_mono_lt_threshold,analysis_alpha_nan,data_quality_ok,analysis_applicability_ok,route_b_base_ok,route_b_excluded_slug,route_b_low_r2,route_b_selected,route_b_selected_plot,drop_reason_primary,drop_reason_class
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.21193679634191,36.0,monotone_truncated,0.0,5,14,14,1.215462091736481,3.3656657699688144,0.944199067047627,24.0,120.0,0.4338381608618579,0.09194626994392838,-0.11960544950603617,0.4338381608618579,15,0.21193679634191,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,NEUTRAL,0.10874257943783087,255.0,monotone_truncated,0.0,3,18,18,0.38957619948066224,0.8454476699476002,0.9316519498034503,24.0,72.0,0.20930911538553285,0.022760813106873414,0.0010061238318122088,0.20930911538553285,30,0.10874257943783087,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,0.08872607418470607,16.0,monotone_truncated,0.0,4,13,13,0.4242021835762336,1.3947344441016678,0.6809807649039861,24.0,96.0,0.4345220489379706,0.03855343554896086,0.0007352116073801415,0.4345220489379706,15,0.08872607418470607,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,0.06315526696395692,72.0,monotone_truncated,0.0,1,13,13,,,,24.0,24.0,0.8418268258900313,0.05316579792650541,-0.027829626786619432,0.8418268258900313,15,0.06315526696395692,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,0.13004533817237074,297.0,monotone_truncated,0.0,1,1,1,,,,24.0,24.0,0.8865031096034462,0.1152855966792384,-0.0889391902519517,0.8865031096034462,12,0.13004533817237074,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,EVAC,0.2973716938876105,36.0,monotone_truncated,0.0,4,11,11,0.7109067116199009,1.7597811390799818,0.9425686776919282,24.0,96.0,0.500263746412299,0.14876427766118736,-0.04063898838088015,0.500263746412299,12,0.2973716938876105,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,0.1391423238696797,9.0,monotone_truncated,0.0,8,14,14,0.46725800107111964,1.4606419914461073,0.9342228197739663,24.0,192.0,0.7174485387260481,0.09982745693524822,-0.22670072827630072,0.7174485387260481,15,0.1391423238696797,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.40114008822652447,16.0,monotone_truncated,0.0,4,34,34,0.2228386744457223,0.4673588092926708,0.9593725850264299,24.0,96.0,0.5693644673300816,0.22839491265783704,0.05663369481729249,0.5693644673300816,36,0.40114008822652447,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.1343457827368733,-13.666666666666666,monotone_truncated,0.0,4,11,11,0.10129978589277557,0.001090477612669646,0.948745116262028,24.0,96.0,0.6399337446873469,0.08597239982976006,0.11083492750776064,0.6399337446873469,12,0.1343457827368733,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.3173934156827427,29.0,monotone_truncated,0.0,5,10,10,0.5223034173699458,1.4220224411003037,0.9554191237720306,24.0,120.0,0.28279859189766005,0.08975841103266832,-0.5472429120883096,0.28279859189766005,11,0.3173934156827427,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
