window_start_pt,hours_since_quake,center_lat,center_lon,center_mode,center_track_csv,center_track_to_tz,center_track_storm_name
2024-09-10 08:00:00,16.0,34.121,-117.155,static,,America/Los_Angeles,
2024-09-11 08:00:00,40.0,34.121,-117.155,static,,America/Los_Angeles,
2024-09-12 08:00:00,64.0,34.121,-117.155,static,,America/Los_Angeles,
