direction,band,n_points,tau_hours,tau_r2,fit_ok
outflow,0-25km,27,322.3148962105629,0.43203078099346914,1
outflow,100-200km,27,280.29171247168074,0.4480610971035991,1
outflow,25-50km,27,191.59021993449386,0.45843358310313587,1
outflow,50-100km,27,361.9285150315604,0.21724738656907727,1
inflow,0-25km,27,288.83090693253587,0.4399370868657648,1
inflow,100-200km,27,279.4724718629202,0.45061578978293737,1
inflow,25-50km,27,224.27971064675197,0.4509754637517658,1
inflow,50-100km,27,370.00131797777817,0.19820242240439823,1
