r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,r_center_km,abs_dev
0.0,0.07237062972039131,13.333333333333334,2.0,5.0,0.9276293702796087
10.0,0.1825741806269607,30.666666666666668,7.5,15.0,0.8174258193730393
20.0,0.13874573771793497,56.833333333333336,11.666666666666666,25.0,0.861254262282065
30.0,0.2205831787035001,111.33333333333333,28.833333333333332,35.0,0.7794168212964999
40.0,0.2624536139702773,136.16666666666666,68.5,45.0,0.7375463860297227
50.0,0.3089938287314266,111.16666666666667,55.5,55.0,0.6910061712685733
60.0,0.17927132234299262,62.333333333333336,13.333333333333334,65.0,0.8207286776570074
70.0,0.39248323934795604,76.66666666666667,30.0,75.0,0.607516760652044
80.0,0.6916458853292755,73.16666666666667,47.166666666666664,85.0,0.3083541146707245
90.0,0.6185924648303941,85.16666666666667,54.5,95.0,0.3814075351696059
100.0,0.7119585872849937,80.16666666666667,54.333333333333336,105.0,0.2880414127150063
110.0,0.9296000717388541,80.0,51.333333333333336,115.0,0.07039992826114594
120.0,1.0760502912140062,61.333333333333336,45.0,125.0,0.0760502912140062
130.0,1.0382122634825022,37.5,28.666666666666668,135.0,0.03821226348250217
140.0,0.6654729842169329,19.5,9.666666666666666,145.0,0.3345270157830671
150.0,0.8068281246118859,20.833333333333332,14.666666666666666,155.0,0.1931718753881141
160.0,0.8812059370489314,28.0,24.333333333333332,165.0,0.11879406295106865
170.0,0.7998232387009342,23.5,14.0,175.0,0.2001767612990658
180.0,0.394513051481286,9.5,4.166666666666667,185.0,0.605486948518714
370.0,2.954791273734757,1.0,1.0,375.0,1.9547912737347568
380.0,1.1844817029814323,1.6666666666666667,1.3333333333333333,385.0,0.1844817029814323
400.0,1.2221436877611491,2.0,1.3333333333333333,405.0,0.22214368776114912
410.0,1.2983282028131542,10.333333333333334,9.166666666666666,415.0,0.2983282028131542
420.0,1.4520846611948448,1.0,1.0,425.0,0.4520846611948448
430.0,1.276063784167029,4.0,3.5,435.0,0.27606378416702904
440.0,1.1607923749382236,18.833333333333332,17.666666666666668,445.0,0.16079237493822363
450.0,1.2188287858982474,4.5,4.166666666666667,455.0,0.2188287858982474
470.0,1.071714586686271,2.0,2.0,475.0,0.07171458668627095
480.0,1.0179974788210853,3.8333333333333335,3.0,485.0,0.017997478821085267
490.0,1.0709987935429734,4.333333333333333,3.1666666666666665,495.0,0.07099879354297345
