formula,n_obs,n_events,status,message,aic,bic,coef__Intercept,se__Intercept,p__Intercept,ci_low__Intercept,ci_high__Intercept,coef__D_peak_unit,se__D_peak_unit,p__D_peak_unit,ci_low__D_peak_unit,ci_high__D_peak_unit,coef__distance_km,se__distance_km,p__distance_km,ci_low__distance_km,ci_high__distance_km,coef__Group_Var,se__Group_Var,p__Group_Var,ci_low__Group_Var,ci_high__Group_Var,coef__delta_peak_unit,se__delta_peak_unit,p__delta_peak_unit,ci_low__delta_peak_unit,ci_high__delta_peak_unit
alpha_unit ~ D_peak_unit + distance_km,6336,24,ok,ok,-inf,-inf,-2.1714056468715026e-15,,,,,0.3157011109098952,0.06448294816595809,9.786419331730433e-07,0.18931685488765423,0.4420853669321362,2.0285884391501408e-05,1.1780531210938627e-05,0.08507244560670496,-2.803532500688333e-06,4.337530128369115e-05,0.0,,,,,,,,,
alpha_unit ~ delta_peak_unit + distance_km,6336,24,ok,ok,-inf,-inf,-3.705006853316405e-16,,,,,,,,,,2.2123051524937316e-05,1.1826737809888958e-05,0.061401063281144766,-1.056928637043156e-06,4.530303168691779e-05,0.0,,,,,-0.08602330293776272,0.04933360710301669,0.08121038193541609,-0.18271539608712484,0.010668790211599374
alpha_unit ~ D_peak_unit + delta_peak_unit + distance_km,6336,24,ok,ok,-inf,-inf,-5.089735669180896e-15,,,,,0.39441951503652195,0.06814759248233679,7.134614745369523e-09,0.2608526881380293,0.5279863419350146,2.3166297433000946e-05,1.1796975030848888e-05,0.04955921188848183,4.465124601883138e-08,4.628794361998306e-05,0.0,,,,,-0.18430343012245715,0.052051439403659513,0.00039892474347503473,-0.2863223766970988,-0.08228448354781547
