"coverage","country","lon","lat"
"1","BD","88.824462890625","24.156777840003144"
"1","IN","88.80249023437499","22.766051093286443"
"1","IN","90.36254882812501","25.2745031111573"
"1","IN","91.856689453125","23.97621423555342"
"1","BD","92.25219726562501","22.380555130579296"
"1","BD","88.934326171875","23.97621423555342"
"1","BD","90.516357421875","24.876469508857305"
"1","BD","90.076904296875","25.03583815177413"
"1","BD","91.76879882812501","22.644432106946258"
"1","BD","88.56079101562499","24.61705694193286"
"1","BD","89.615478515625","23.41284668023659"
"1","BD","91.571044921875","24.11667456894173"
"1","BD","89.263916015625","22.664709435643758"
"1","BD","90.93383789062501","24.09661821871491"
"1","BD","88.802490234375","24.437147464906445"
"1","BD","88.97827148437499","24.876469508857305"
"1","IN","88.56079101562499","23.936054524009784"
"1","IN","92.032470703125","24.23694660963863"
"1","BD","91.17553710937501","23.25144013501898"
"1","IN","91.395263671875","23.855697620153656"
"1","IN","88.51684570312499","23.291810149894445"
"1","BD","90.274658203125","22.80656672390966"
"1","BD","88.82446289062499","25.03583815177413"
"1","IN","91.79077148437499","23.41284668023659"
"1","BD","89.37377929687501","23.33216792325447"
"1","BD","90.450439453125","23.574056580547662"
"1","IN","88.82446289062501","22.968508644235623"
"1","BD","90.076904296875","23.77529084784995"
"1","BD","89.197998046875","24.63703095439319"
"1","BD","88.912353515625","24.91633100215179"
"1","BD","88.71459960937501","24.317064911622275"
"1","BD","90.14282226562499","22.80656672390966"
"1","BD","89.835205078125","24.97609909054028"
"1","BD","88.934326171875","23.956135943131706"
"1","BD","89.263916015625","23.35234221426967"
"1","BD","90.758056640625","22.258596371728792"
"1","BD","91.52709960937499","22.502407087068313"
"1","BD","90.516357421875","23.735068800857363"
"1","IN","91.856689453125","23.815500459599683"
"1","IN","88.36303710937499","23.574056580547662"
"1","BD","92.164306640625","22.644432106946258"
"1","BD","89.022216796875","22.319589072788325"
"1","BD","90.582275390625","24.437147464906445"
"1","BD","91.593017578125","24.996015338703387"
"1","BD","91.768798828125","24.676969398607696"
"1","BD","90.911865234375","23.875791526254975"
"1","BD","90.076904296875","22.319589072788325"
"1","BD","90.05493164062499","23.97621423555342"
"1","BD","89.94506835937501","23.04940701063951"
"1","BD","91.153564453125","24.956179617136517"
"1","BD","89.549560546875","23.654587465102644"
"1","IN","88.692626953125","25.353954150937277"
