slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.12682974654138332,519.0,monotone_truncated,0.0,4,7,7,0.07209245780415927,0.050760724870432386,0.7074182139741156,24.0,96.0,0.8505696884814423,0.10787753800588469
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.450461863573143,4.0,monotone_truncated,0.0,5,13,13,0.8465078168666383,1.5502098540594351,0.976661506124704,24.0,120.0,0.05254662164872795,0.023670249112358852
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.40056704048492875,0.0,monotone_truncated,0.0,6,14,14,0.6269189388051788,1.0929478736000096,0.8801611589901519,24.0,144.0,0.13385125723124228,0.05361640197430564
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,0.5281728774397664,63.0,monotone_truncated,0.0,8,13,13,0.38463499774281507,1.046912601025323,0.8690654956969825,24.0,192.0,0.3020790389645278,0.15954995522413395
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,0.09066741741024147,76.0,monotone_truncated,0.0,3,6,6,0.35159949558688225,0.958432043871244,0.9868918440501755,24.0,72.0,0.7756717574670433,0.0703281550076
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.117777870032105,48.0,monotone_truncated,0.0,1,14,14,,,,24.0,24.0,0.24653762490062298,0.029036676343569427
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.25530041811087995,264.0,monotone_truncated,0.0,0,0,0,,,,,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EVAC,0.4172209090843865,179.75,monotone_truncated,0.0,1,6,6,,,,24.0,24.0,0.23013956440708067,0.09601903827820692
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.11613243070022411,215.0,monotone_truncated,0.0,2,3,3,,,,24.0,48.0,0.8038895117584186,0.09335764301492154
hurricane_milton_across_florida_us,milton_fl,hurricane,EVAC,0.31997152403201046,0.0,monotone_truncated,0.0,2,9,9,,,,24.0,48.0,0.3823073099585476,0.12232745261601469
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.11421894032617907,280.0,monotone_truncated,0.0,2,2,2,,,,24.0,48.0,0.9765650337398539,0.11154222331336543
park_fire_2024,park_fire1,wildfire,INFL,0.08515093960172238,497.1333333333333,monotone_truncated,0.0,0,0,0,,,,,,,
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,0.06606983215252211,449.1333333333333,monotone_truncated,0.0,0,0,0,,,,,,,
spain_flood,spain_flood,flood,INFL,0.24736791075821665,96.5,monotone_truncated,0.0,5,6,6,0.12349167517188633,0.34144408453013725,0.9075049401231653,24.0,120.0,0.7869023135838722,0.1946543812820495
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.20815155200205784,36.0,monotone_truncated,0.0,3,14,14,1.5320230304057887,4.567414048230077,0.951235244189331,24.0,72.0,0.662900720319334,0.13798381375775146
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,EVAC,0.185428227271345,15.0,monotone_truncated,0.0,7,28,28,0.8499507299171059,2.523385353447241,0.9650883859637797,24.0,168.0,0.10498625651455856,0.01946741543334929
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,0.08464392543464366,40.0,monotone_truncated,0.0,3,12,12,0.45517284380442236,1.275599182909031,0.9559837945652386,24.0,72.0,0.7102640250205663,0.0601195351727507
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,0.11218287934486,72.0,monotone_truncated,0.0,1,13,13,,,,24.0,24.0,0.7829170123808042,0.08782988473695402
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,EVAC,0.3675708781541667,36.0,monotone_truncated,0.0,3,11,11,0.6840959791271252,1.481821453576413,0.8688873644278217,24.0,72.0,0.4676228205841931,0.1718845308070602
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,0.39313127690089705,33.0,monotone_truncated,0.0,7,13,13,0.46756255917080375,1.1051680605042173,0.7816135109142969,24.0,168.0,0.3592545128397684,0.14123418536510787
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.4415896134586588,16.0,monotone_truncated,0.0,1,34,34,,,,24.0,24.0,0.5441263837953398,0.24028055949284197
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.14864457672635034,-13.666666666666666,monotone_truncated,0.0,1,11,11,,,,24.0,24.0,0.6051291244865196,0.08994916257408567
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.6716278065990458,29.0,monotone_truncated,0.0,9,10,10,0.6198376663478266,1.8868464616985003,0.9012110755422508,24.0,216.0,0.2196619868360644,0.14753109841189438
