subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,12,-0.6923076923076924,0.012593030496094112
selected_r2_ge_0p8,10,-0.6242424242424242,0.053717767217167436
