window_start_pt,hours_since_quake,distance_band,n_tiles,baseline_sum,crisis_sum,net_change,phi_aggregate
2024-09-16,0.0,0-25km,390,48155.06811287538,50442.60677655972,2287.5386636843396,1.0475035910721247
2024-09-16,0.0,100-200km,1287,52885.894328168506,50929.41241983922,-1956.4819083292896,0.9630056003933886
2024-09-16,0.0,25-50km,1001,125139.95877107063,130811.61211455766,5671.653343487036,1.0453224805184944
2024-09-16,0.0,50-100km,1513,74927.01468917746,73928.93578253462,-998.0789066428406,0.98667931839026
2024-09-17,24.0,0-25km,382,47497.99573395367,47054.060106119956,-443.93562783371453,0.9906535924100821
2024-09-17,24.0,100-200km,1265,51859.4721478388,48393.60651301154,-3465.8656348272634,0.9331681274165899
2024-09-17,24.0,25-50km,982,124487.07998561132,125258.74602920629,771.6660435949743,1.0061987641101724
2024-09-17,24.0,50-100km,1474,73230.81925060594,69344.61990513733,-3886.1993454686162,0.9469321880427214
2024-09-18,48.0,0-25km,383,47452.37021853535,46183.42239573647,-1268.9478227988802,0.9732584944238841
2024-09-18,48.0,100-200km,1266,52133.30967134313,46891.59751999798,-5241.712151345149,0.8994556036363363
2024-09-18,48.0,25-50km,983,124376.94294803638,122881.30228062703,-1495.640667409345,0.9879749362545901
2024-09-18,48.0,50-100km,1483,73112.19765837514,67418.86415739307,-5693.333500982073,0.922128814570931
2024-09-19,72.0,0-25km,378,47067.173911155485,47125.54810794078,58.37419678529113,1.0012402316080307
2024-09-19,72.0,100-200km,1257,51544.035212145216,48199.65177912651,-3344.383433018709,0.935115995104887
2024-09-19,72.0,25-50km,984,123632.7671312619,125531.39727232586,1898.6301410639571,1.0153570140434385
2024-09-19,72.0,50-100km,1477,72796.38091034556,69296.12821332597,-3500.2526970195904,0.9519172154817638
2024-09-20,96.0,0-25km,382,46868.86868785145,47913.4328474043,1044.5641595528505,1.0222869505664771
2024-09-20,96.0,100-200km,1272,51987.746235425824,48770.53393788563,-3217.2122975401944,0.9381159498053427
2024-09-20,96.0,25-50km,982,123159.83330409932,127533.43384248302,4373.600538383704,1.0355115821534497
2024-09-20,96.0,50-100km,1489,73156.89066800878,70504.0604780197,-2652.8301899890794,0.9637377946798229
2024-09-21,120.0,0-25km,400,45618.434476462324,47936.75724301376,2318.322766551435,1.050819866862104
2024-09-21,120.0,100-200km,1305,52712.81484235886,54757.082670175,2044.2678278161402,1.0387812305969555
