slug,short_name,disaster_type,event_type,t_peak_hours,D_peak,fit_method,tau50_h,tau50_lower_bound
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,519.0,0.1426724059165762,full_post_peak,168.0,1
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,220.0,0.04988296177968236,full_post_peak,,0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,179.75,0.10301149441804595,full_post_peak,144.0,1
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,23.0,0.1154977972412495,full_post_peak,264.0,1
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,48.0,0.4859721502432578,full_post_peak,264.0,0
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,304.0,0.11161292058009191,full_post_peak,24.0,1
park_fire_2024,park_fire1,wildfire,INFL,497.1333333333333,0.06584986260321869,full_post_peak,,0
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,161.13333333333333,0.03950909683095676,full_post_peak,288.0,1
spain_flood,spain_flood,flood,INFL,120.5,0.1268297089427715,full_post_peak,120.0,1
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,36.0,0.21193679634191,full_post_peak,48.0,0
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,NEUTRAL,255.0,0.10874257943783087,full_post_peak,48.0,0
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,16.0,0.08872607418470607,full_post_peak,96.0,0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,48.0,0.1069222363633024,full_post_peak,48.0,0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,297.0,0.13004533817237074,full_post_peak,24.0,1
turkiye_earthquake_2023,turkiye,earthquake,INFL,16.0,0.40114008822652447,full_post_peak,816.0,1
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,-13.666666666666666,0.12926789171258646,full_post_peak,264.0,1
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,29.0,0.3173934156827427,full_post_peak,72.0,0
