group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,10,0.7923649279972864,0.1086950304029581,0.13717799281915005,good
all,0.5,1.0,12,0.7406074959094324,0.12130465123566589,0.1637907419323501,good
all,1.0,1.5,15,0.6650844963806087,0.2494714915539133,0.37509743936528017,medium
all,1.5,2.0,5,0.4084338725683276,0.1874562274760631,0.4589634701384941,medium
all,2.0,2.5,5,0.4428793717991765,0.24149954594319004,0.5452941846492184,bad
all,2.5,3.0,5,0.34162708064533337,0.17610461594392088,0.5154878694372219,bad
EVAC,0.0,0.5,1,0.7368467448388712,,,insufficient
EVAC,0.5,1.0,3,0.6103866605466739,0.08213973409480343,0.13457000194145385,good
EVAC,1.0,1.5,4,0.49040206670591846,0.2702271293420694,0.5510317914384273,bad
EVAC,1.5,2.0,3,0.2932377386632588,0.07489822649977738,0.2554181015076889,good
EVAC,2.0,2.5,3,0.2890421538529174,0.1550281602540955,0.5363513874622711,bad
EVAC,2.5,3.0,3,0.2470756841606203,0.15378016292916,0.6224010406025619,bad
INFL,0.0,0.5,7,0.7561279346847725,0.08756301223284928,0.11580449315016253,good
INFL,0.5,1.0,7,0.7897035034134481,0.10736764291492912,0.13595943597924873,good
INFL,1.0,1.5,8,0.8288266617285315,0.13466353329141986,0.1624749051998121,good
INFL,1.5,2.0,0,,,,insufficient
INFL,2.0,2.5,0,,,,insufficient
INFL,2.5,3.0,0,,,,insufficient
