group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,10,0.7143761137458192,0.12560813742734547,0.1758291395952775,good
all,0.5,1.0,10,0.6516708441674679,0.1338110435449442,0.20533532341145697,good
all,1.0,1.5,14,0.5685727007821578,0.19881011919317843,0.34966525638618423,medium
all,1.5,2.0,5,0.32206681763227957,0.0874869996032208,0.27164238851550754,good
all,2.0,2.5,6,0.31195630006263303,0.130597492486955,0.4186403430888695,medium
all,2.5,3.0,5,0.26103901675928726,0.16006396392542352,0.6131802284293149,bad
EVAC,0.0,0.5,3,0.6388482038849702,0.11768488722277486,0.184214163094,good
EVAC,0.5,1.0,3,0.6231236112026903,0.16117279510111068,0.25865300592611346,good
EVAC,1.0,1.5,5,0.4601528032487727,0.17882160536480773,0.38861353033664187,medium
EVAC,1.5,2.0,4,0.3320782507846134,0.09765811883474386,0.2940816467323694,good
EVAC,2.0,2.5,4,0.2999160765126879,0.16000139928442844,0.5334872379795873,bad
EVAC,2.5,3.0,4,0.2666065684752029,0.1842660554270095,0.6911534718775996,bad
INFL,0.0,0.5,6,0.7358462755035123,0.1302769455404649,0.17704369768172193,good
INFL,0.5,1.0,6,0.6788304137503687,0.13881412854414904,0.20449014324098358,good
INFL,1.0,1.5,8,0.6609764773096867,0.1772729140678824,0.2681985216621028,good
INFL,1.5,2.0,0,,,,insufficient
INFL,2.0,2.5,1,0.3940780174057053,,,insufficient
INFL,2.5,3.0,0,,,,insufficient
