slug,route_b_selected,route_b_base_ok,drop_reason,event_type,event_type_summary,n_mono,alpha,r2,near_delta_peak_windows_mean,n_time_windows,n_time_windows_raw,D_peak,t_peak_hours,n_total_post,t_decay_end
hurricane_beryl_pre_landfall_2024,False,False,NEAR_DELTA_NA,NEUTRAL,NEUTRAL,5,0.6645703095805049,0.989049862415856,,33,96,0.1822113040388756,32.0,30,120.0
hurricane_john_across_southeastern_guerrero_mexico,False,False,N_MONO_LT3,INFL,INFL,1,,,0.0736302526331108,8,21,0.0963674648594471,200.0,1,20.0
hurricane_milton_across_florida_us,False,False,N_MONO_LT3,EVAC,EVAC,2,,,-0.0448830505545051,11,30,0.2493944243998009,-8.0,10,40.0
moldova_flooding_2024,False,False,N_MONO_LT3,INFL,INFL,0,,,0.0385517676157055,29,84,0.0764452481334713,648.0,0,
the_flooding_across_bagmati_and_koshi_provinces_nepal,False,False,N_MONO_LT3,EVAC,EVAC,0,,,-0.0401776150554301,16,45,0.144028533348013,336.0,0,
the_flooding_across_gujarat_india,False,False,N_MONO_LT3,EVAC,EVAC,2,,,-0.0756969964447589,9,24,0.1072504159161083,128.0,2,40.0
flooding_in_central_and_eastern_europe_sept_16_2024,True,True,KEEP,INFL,INFL,4,0.1061787124032823,0.8379497419858574,0.0662245019302085,28,81,0.1038515213875583,416.0,9,96.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,True,True,KEEP,EVAC,EVAC,5,0.736392299603873,0.9168100001197832,-0.1297066506818232,15,42,0.1242783818072858,-12.0,14,116.0
hurricane_beryl_across_southeastern_texas_us,True,True,KEEP,EVAC,EVAC,5,0.849812632262648,0.9756458547813732,-0.2641168649259409,16,45,0.2175732667072594,8.0,14,120.0
hurricane_john_southern_mexico_25_september_2024,True,True,KEEP,INFL,INFL,3,0.0621025670886193,0.907134199324987,0.071839597464233,16,45,0.0937577874739028,296.0,3,68.0
spain_flood,True,True,KEEP,INFL,INFL,4,0.2268267301818943,0.9988822853690316,0.1322775268901986,11,30,0.122420492245486,104.0,5,96.0
the_earthquake_across_central_mexico,True,True,KEEP,INFL,INFL,4,0.3479752777497077,0.893023087603731,0.2504894683816717,5,13,0.2475952968745697,32.0,4,96.0
the_flooding_across_eastern_bangladesh,True,True,KEEP,INFL,INFL,5,0.2747471689190812,0.8701492481798825,0.0507287387020413,13,36,0.0877116524612791,8.0,11,120.0
turkiye_earthquake_2023,True,True,KEEP,INFL,INFL,4,0.2468014046050735,0.971188165874802,0.0337562852091245,36,107,0.3565980804269134,8.0,34,96.0
typhoon_yagi_across_northeastern_vietnam,True,True,KEEP,EVAC,EVAC,6,0.5016555761289063,0.974097670819227,-0.4845434252653976,12,33,0.2914427860091868,21.0,11,136.0
wildfires_in_boise_county_idaho_27_august_2024,True,True,KEEP,INFL,INFL,6,0.0454006319677413,0.2038046920948849,0.0592876082624805,16,45,0.0942644324389404,128.0,9,144.0
