removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,9,-0.6166666666666666,0.07692880993776312
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,9,-0.4666666666666666,0.2053863511058121
hurricane_beryl_across_southeastern_texas_us,9,-0.4666666666666666,0.2053863511058121
hurricane_john_southern_mexico_25_september_2024,9,-0.6166666666666666,0.07692880993776312
spain_flood,9,-0.6333333333333333,0.06708578689234572
the_earthquake_across_central_mexico,9,-0.7833333333333333,0.012519873019449885
the_flooding_across_eastern_bangladesh,9,-0.5499999999999999,0.12497678418833194
turkiye_earthquake_2023,9,-0.5499999999999999,0.12497678418833194
typhoon_yagi_across_northeastern_vietnam,9,-0.48333333333333334,0.18746985521554216
wildfires_in_boise_county_idaho_27_august_2024,9,-0.6333333333333333,0.06708578689234572
