slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,n_mono,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs,near_delta_peak_windows_mean,D_inf_summary,route_b_base_ok,route_b_excluded_slug,route_b_low_r2,route_b_selected,route_b_selected_plot
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,0.2813058094235828,536.0,4,12,0.24171675490030492,-0.5215028148963851,0.9213941366045052,24.0,96.0,0.30104830816162287,0.08468663800300551,-0.22438986333973152,0.30104830816162287,True,False,False,True,True
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.10059199886783282,416.0,4,9,0.09784336011323484,0.24403487188241788,0.6623924660380529,24.0,96.0,0.8665136001354186,0.08716433508378377,0.06637828175458367,0.8665136001354186,True,False,False,True,True
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.12183737847793855,-8.0,5,13,0.5939242630297676,0.9003928118633289,0.8967379651088068,24.0,120.0,0.26219576296867736,0.03194524440812661,-0.2182305293802359,0.26219576296867736,True,False,False,True,True
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.11823524674694585,-8.0,6,14,0.647114025438731,1.7105305351053701,0.9822863437981076,24.0,144.0,0.2020490314191309,0.023889317084822358,-0.16866740124210078,0.2020490314191309,True,False,False,True,True
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.1714251397966239,16.0,6,30,0.4253901178736081,1.3450522415828927,0.9127457036357022,24.0,144.0,0.4486801646922188,0.07691505995633584,0.00428138280842398,0.4486801646922188,True,False,False,True,True
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,0.05224842952977174,172.0,0,0,,,,,,,,-0.017693320859794994,,False,False,False,False,False
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.11221423538369692,-8.0,2,14,,,,24.0,48.0,0.3940228925345258,0.044214977609434394,0.04443239834579975,0.3940228925345258,False,False,False,False,False
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.17415395812046633,328.0,0,0,,,,,,,,0.11449476753122213,,False,False,False,False,False
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10131234143207328,-8.0,3,6,-0.018788522877199735,-0.3641864809148426,0.9505054781522214,24.0,72.0,0.8340106279041756,0.08449556949220566,0.07476547421331281,0.8340106279041756,True,False,False,True,True
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.11693105353575652,136.0,3,8,0.08226672574180177,-0.05538809143626155,0.6243409755523249,24.0,72.0,0.6355443005209976,0.07431486462856571,0.08452853227565481,0.6355443005209976,True,False,False,True,True
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,0.4724414077110588,52.0,4,4,0.40627215723998766,1.2003991035615855,0.9956725718208175,20.0,288.0,0.34361243731652263,0.16233674359284592,,0.34361243731652263,False,False,False,False,False
