test,param,value,n_evac,n_infl,alpha_evac_mean,alpha_evac_std,alpha_infl_mean,alpha_infl_std,p_mannwhitney,p_welch,cohens_d,eta2
bounce_tol,mono_tol_up,1.0,4,2,0.8128761309785786,0.23597927434891938,0.2160019079307854,0.009668647928201993,0.06666666666666667,0.007368409414881672,3.5740426580125866,0.7397048773215752
bounce_tol,mono_tol_up,1.02,4,4,0.8128761309785786,0.23597927434891938,0.14853471807838162,0.112905906935704,0.014285714285714285,0.0029063680538487747,3.591455439044179,0.8113035723126965
bounce_tol,mono_tol_up,1.05,5,7,0.6739604248829961,0.3563500184023164,0.1469178916852425,0.0858479538224999,0.02398989898989899,0.014096268395204557,2.0334495962554042,0.594695228943091
bounce_tol,mono_tol_up,1.1,5,9,0.6513531616746506,0.3620194558449456,0.1600167509093393,0.14159514942183993,0.00949050949050949,0.017945208098001,1.7875214548088358,0.5312680214038058
bounce_tol,mono_tol_up,1.2,6,9,0.5797064550539489,0.36007903382248846,0.13781682403021628,0.1657873161842798,0.005994005994005994,0.014205318933943051,1.5764572355198812,0.44742347480305644
r_max,r_max_km,100.0,4,3,0.9354885043485764,0.2673189267548561,0.16340499848793608,0.1256376229620007,0.02857142857142857,0.002661575221258124,3.6966721712367803,0.8060127495747548
r_max,r_max_km,150.0,5,4,0.6830186234544167,0.3665392384583216,0.14972578391953856,0.09168755392371492,0.031746031746031744,0.014433447087177365,1.9960945069889784,0.5290379037078307
r_max,r_max_km,200.0,5,7,0.6739604248829961,0.3563500184023164,0.1469178916852425,0.0858479538224999,0.02398989898989899,0.014096268395204557,2.0334495962554042,0.594695228943091
r_max,r_max_km,300.0,5,7,0.6657575343930727,0.40118327207041804,0.19468754330312452,0.16593272983500446,0.02398989898989899,0.028031584754858226,1.5344963324632686,0.44445714392790314
near_thresh,near_thresh,0.01,5,7,0.6739604248829961,0.3563500184023164,0.1469178916852425,0.0858479538224999,0.02398989898989899,0.014096268395204557,2.0334495962554042,0.594695228943091
near_thresh,near_thresh,0.02,5,7,0.6739604248829961,0.3563500184023164,0.1469178916852425,0.0858479538224999,0.02398989898989899,0.014096268395204557,2.0334495962554042,0.594695228943091
near_thresh,near_thresh,0.05,5,5,0.6739604248829961,0.3563500184023164,0.13293392670896872,0.10098918088726884,0.027777777777777776,0.012437540935654046,2.0657680938126135,0.5714705338802892
