subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,16,-0.7029411764705883,0.002386952669300933
selected_r2_ge_0p8,11,-0.6000000000000001,0.05100326070695074
