removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,15,-0.5178571428571428,0.04800407736655833
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,15,-0.4392857142857142,0.10136057119347248
hurricane_beryl_across_southeastern_texas_us,15,-0.4392857142857142,0.10136057119347248
hurricane_beryl_pre_landfall_2024,15,-0.4535714285714285,0.08948590014302732
hurricane_john_across_southeastern_guerrero_mexico,15,-0.5214285714285714,0.04621923447857302
hurricane_john_southern_mexico_25_september_2024,15,-0.5214285714285714,0.04621923447857302
hurricane_milton_across_florida_us,15,-0.6071428571428571,0.01638130676830708
moldova_flooding_2024,15,-0.5499999999999999,0.03365535781500707
spain_flood,15,-0.6249999999999999,0.012727453511233668
the_earthquake_across_central_mexico,15,-0.6249999999999999,0.012727453511233668
the_flooding_across_bagmati_and_koshi_provinces_nepal,15,-0.4464285714285714,0.09529321315352621
the_flooding_across_eastern_bangladesh,15,-0.5357142857142856,0.03956697222954947
the_flooding_across_gujarat_india,15,-0.5857142857142856,0.021776517619042778
turkiye_earthquake_2023,15,-0.532142857142857,0.041158580386934415
typhoon_yagi_across_northeastern_vietnam,15,-0.4357142857142856,0.10449335704406641
wildfires_in_boise_county_idaho_27_august_2024,15,-0.5499999999999999,0.03365535781500707
