r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,r_center_km,abs_dev
50.0,0.9643466563404086,60.666666666666664,56.666666666666664,55.0,0.035653343659591386
60.0,0.9749252358583737,113.66666666666667,101.66666666666667,65.0,0.02507476414162635
70.0,0.9606092870815388,222.0,199.0,75.0,0.03939071291846119
80.0,0.959732959015386,331.0,308.0,85.0,0.04026704098461398
90.0,1.0020326833084099,393.3333333333333,377.6666666666667,95.0,0.0020326833084098883
100.0,0.9715162851842591,435.6666666666667,420.0,105.0,0.028483714815740857
110.0,1.0108792179511406,430.0,412.0,115.0,0.010879217951140552
120.0,0.9699640136583522,517.3333333333334,491.3333333333333,125.0,0.030035986341647836
130.0,1.0032783402018177,657.0,636.0,135.0,0.00327834020181772
140.0,1.0013996725645231,736.0,711.0,145.0,0.0013996725645231134
150.0,1.0136466573667355,814.6666666666666,785.0,155.0,0.013646657366735537
160.0,1.0084470379366197,872.6666666666666,845.6666666666666,165.0,0.008447037936619717
170.0,1.0274930678261993,883.0,861.0,175.0,0.027493067826199313
180.0,1.0240190651779069,745.6666666666666,712.0,185.0,0.024019065177906862
190.0,1.0221241980808828,836.3333333333334,793.3333333333334,195.0,0.02212419808088284
200.0,1.0135449988475294,1017.0,983.0,205.0,0.013544998847529355
210.0,1.0141546909912544,996.0,962.6666666666666,215.0,0.014154690991254437
220.0,1.0046087014505114,1059.6666666666667,1013.6666666666666,225.0,0.004608701450511399
230.0,0.9996357360149464,1133.6666666666667,1088.3333333333333,235.0,0.00036426398505362556
240.0,0.9989251602520759,886.6666666666666,851.6666666666666,245.0,0.0010748397479241056
250.0,1.012365319398141,857.6666666666666,831.6666666666666,255.0,0.012365319398141006
260.0,1.0022651217265977,795.0,766.3333333333334,265.0,0.002265121726597652
270.0,1.0082199903360103,680.0,653.3333333333334,275.0,0.008219990336010286
280.0,1.0105348358897646,493.6666666666667,465.3333333333333,285.0,0.01053483588976456
290.0,1.0902459501283566,401.0,380.6666666666667,295.0,0.09024595012835657
300.0,1.051828166756315,415.6666666666667,397.6666666666667,305.0,0.051828166756314964
310.0,1.0132414178348907,462.0,437.0,315.0,0.013241417834890745
320.0,1.0227542104113145,498.0,474.6666666666667,325.0,0.022754210411314535
330.0,1.0227162591014762,545.3333333333334,517.3333333333334,335.0,0.022716259101476233
340.0,1.0247466109147934,595.6666666666666,571.0,345.0,0.024746610914793354
350.0,1.0146015451067287,686.3333333333334,666.0,355.0,0.01460154510672873
360.0,0.986071720545762,789.0,766.0,365.0,0.013928279454238024
370.0,1.0085342514291022,801.6666666666666,772.3333333333334,375.0,0.008534251429102246
380.0,1.0052796159925868,681.6666666666666,660.0,385.0,0.00527961599258675
390.0,0.9891180866218084,652.6666666666666,635.0,395.0,0.010881913378191554
400.0,0.9996227064078891,748.3333333333334,725.3333333333334,405.0,0.0003772935921109166
410.0,1.012467068627785,639.3333333333334,623.3333333333334,415.0,0.012467068627785016
420.0,1.0171145709057432,675.3333333333334,657.3333333333334,425.0,0.0171145709057432
430.0,1.0240411282839104,712.3333333333334,698.3333333333334,435.0,0.024041128283910362
440.0,1.0220984696339086,620.6666666666666,604.3333333333334,445.0,0.022098469633908602
450.0,1.0240665899771544,783.3333333333334,760.6666666666666,455.0,0.024066589977154385
460.0,1.028833228088576,804.3333333333334,788.3333333333334,465.0,0.028833228088575913
470.0,1.0272439162331184,842.3333333333334,826.3333333333334,475.0,0.027243916233118393
480.0,1.0376789896194074,861.6666666666666,839.0,485.0,0.03767898961940741
490.0,1.0503132920280875,875.3333333333334,853.6666666666666,495.0,0.05031329202808754
