window_start_pt,hours_since_quake,band,n_edges,baseline_sum,crisis_sum,phi_aggregate
2024-07-15 08:00:00,352.0,100-200km,334,34740.381808099606,33412.0,0.9617626019357709
2024-07-15 08:00:00,352.0,200km+,272,22973.02197838905,22404.0,0.9752308608364918
2024-07-15 08:00:00,352.0,25-50km,21,1799.6666666666665,1796.0,0.997962585664012
2024-07-15 08:00:00,352.0,50-100km,456,53617.66843985553,51851.0,0.967050629181363
2024-07-16 08:00:00,376.0,100-200km,328,34390.392815356754,33114.0,0.962885192320723
2024-07-16 08:00:00,376.0,200km+,283,22898.445062303486,22453.0,0.9805469296674297
2024-07-16 08:00:00,376.0,25-50km,23,1801.5,1909.0,1.0596724951429364
2024-07-16 08:00:00,376.0,50-100km,471,53546.67923234485,52135.0,0.9736364747061265
2024-07-17 08:00:00,400.0,100-200km,335,34301.69870393518,34179.0,0.9964229554636865
2024-07-17 08:00:00,400.0,200km+,295,22517.476796680767,22353.0,0.9926955938195965
2024-07-17 08:00:00,400.0,25-50km,24,1798.8498711351901,1891.0,1.0512272482231422
2024-07-17 08:00:00,400.0,50-100km,449,52342.294425690394,51832.0,0.9902508204638439
2024-07-18 08:00:00,424.0,100-200km,337,34472.76538179509,33735.0,0.978598601718657
2024-07-18 08:00:00,424.0,200km+,290,22766.461135807087,22277.0,0.9785007809124422
2024-07-18 08:00:00,424.0,25-50km,24,1809.5501750318888,1847.0,1.0206956543592118
2024-07-18 08:00:00,424.0,50-100km,457,52718.56935567436,51872.0,0.9839417236465041
2024-07-19 08:00:00,448.0,100-200km,331,33566.819954003375,32774.0,0.9763808440868162
2024-07-19 08:00:00,448.0,200km+,296,22010.151846085184,21988.0,0.9989935623234183
2024-07-19 08:00:00,448.0,25-50km,25,1825.9752946173737,1768.0,0.9682496829019134
2024-07-19 08:00:00,448.0,50-100km,472,51957.72683400426,50432.0,0.9706352273863196
2024-07-20 08:00:00,472.0,100-200km,323,34838.420005273256,33487.0,0.9612089180545874
2024-07-20 08:00:00,472.0,200km+,264,22487.13560779913,21756.0,0.9674864944761772
2024-07-20 08:00:00,472.0,25-50km,17,2028.6680258447088,1984.0,0.9779815991203836
2024-07-20 08:00:00,472.0,50-100km,360,51455.55157996985,49348.0,0.9590413178897832
2024-07-21 08:00:00,496.0,100-200km,298,36184.3951218668,34343.0,0.9491107944276781
2024-07-21 08:00:00,496.0,200km+,225,24127.818272899513,22925.0,0.9501480714379168
2024-07-21 08:00:00,496.0,25-50km,17,2030.1666666666665,1960.0,0.9654379771775717
2024-07-21 08:00:00,496.0,50-100km,286,52744.35775548401,50056.0,0.9490304201267008
2024-07-22 08:00:00,520.0,100-200km,340,34908.54356569855,33750.0,0.9668120337499
2024-07-22 08:00:00,520.0,200km+,284,23147.653564123124,21942.0,0.9479146531728043
2024-07-22 08:00:00,520.0,25-50km,22,1811.8333333333333,1865.0,1.029344126575292
2024-07-22 08:00:00,520.0,50-100km,468,53769.17339737309,52074.0,0.9684731363667215
2024-07-23 08:00:00,544.0,100-200km,343,34684.22614869009,34126.0,0.9839054748894499
2024-07-23 08:00:00,544.0,200km+,287,22956.111728970154,22593.0,0.9841823505105216
2024-07-23 08:00:00,544.0,25-50km,23,1801.5,1962.0,1.0890924229808492
2024-07-23 08:00:00,544.0,50-100km,471,53547.34589901152,52667.0,0.9835594858301321
2024-07-24 08:00:00,568.0,100-200km,343,34415.69870393518,33612.0,0.9766473227567138
2024-07-24 08:00:00,568.0,200km+,290,22434.64346334743,22275.0,0.9928840650573186
2024-07-24 08:00:00,568.0,25-50km,20,1754.3498711351901,1831.0,1.0436914723373918
2024-07-24 08:00:00,568.0,50-100km,461,52503.3806769797,51873.0,0.9879935221532107
2024-07-25 08:00:00,592.0,100-200km,344,34550.21782882896,34163.0,0.9887926081755161
2024-07-25 08:00:00,592.0,200km+,287,22727.163560533903,22327.0,0.9823927187628114
2024-07-25 08:00:00,592.0,25-50km,21,1777.9787464604601,1832.0,1.0303835204144502
2024-07-25 08:00:00,592.0,50-100km,453,52686.41401613937,52318.0,0.9930074190278633
2024-07-26 08:00:00,616.0,100-200km,339,33697.615870397356,32436.0,0.962560678617455
2024-07-26 08:00:00,616.0,200km+,298,22040.49425958837,21445.0,0.9729818100912456
2024-07-26 08:00:00,616.0,25-50km,21,1778.4187233210603,1829.0,1.0284417139876278
2024-07-26 08:00:00,616.0,50-100km,463,51871.18289918053,49552.0,0.9552895698621677
2024-07-27 08:00:00,640.0,100-200km,320,34759.28998884751,32799.0,0.9436038541214028
2024-07-27 08:00:00,640.0,200km+,262,22455.951767794802,21075.0,0.9385039751565866
2024-07-27 08:00:00,640.0,25-50km,18,2039.3823115589946,2080.0,1.0199166621240112
2024-07-27 08:00:00,640.0,50-100km,367,51563.563447797045,48315.0,0.9369988567394902
2024-07-28 08:00:00,664.0,100-200km,299,36246.561788533465,33702.0,0.9297985336270312
2024-07-28 08:00:00,664.0,200km+,225,24144.818272899513,22413.0,0.9282737085313527
2024-07-28 08:00:00,664.0,25-50km,16,2014.0,2119.0,1.0521350546176762
2024-07-28 08:00:00,664.0,50-100km,272,52557.691088817344,48539.0,0.9235375259916546
2024-07-29 08:00:00,688.0,100-200km,337,34890.05254650056,33785.0,0.9683275757459013
2024-07-29 08:00:00,688.0,200km+,286,23160.02197838905,22391.0,0.9667952828755243
2024-07-29 08:00:00,688.0,25-50km,20,1787.3333333333333,1938.0,1.0842969041402462
2024-07-29 08:00:00,688.0,50-100km,451,53580.84006403976,51845.0,0.9676033436212443
2024-07-30 08:00:00,712.0,100-200km,333,34535.392815356754,33132.0,0.9593636353621346
2024-07-30 08:00:00,712.0,200km+,288,22974.445062303486,21964.0,0.9560187391006267
2024-07-30 08:00:00,712.0,25-50km,21,1779.6666666666667,1870.0,1.0507585690204158
2024-07-30 08:00:00,712.0,50-100km,481,53668.84589901152,51278.0,0.9554518853729338
2024-07-31 08:00:00,736.0,100-200km,336,34327.03203726852,31919.0,0.9298502697624969
2024-07-31 08:00:00,736.0,200km+,290,22448.64346334743,21361.0,0.951549702095663
2024-07-31 08:00:00,736.0,25-50km,22,1774.8498711351901,1773.0,0.9989577309240206
2024-07-31 08:00:00,736.0,50-100km,460,52481.46855678426,50322.0,0.9588527414310493
