target_hours,window_start_pt,hours_since_quake,n_od,total_flow_crisis,mean_delta_r_w,sigma_delta_r_w
8.0,2024-09-17 08:00:00,16.0,3411,169527.0,-0.018135233443139092,1.7575184063579237
40.0,2024-09-18 08:00:00,40.0,3385,166741.0,-0.0038413032405311145,1.4563223375799665
168.0,2024-09-23 08:00:00,160.0,3464,177321.0,-0.013431222115044087,1.4448508503122948
