window_start_pt,hours_since_quake,n_od,total_flow_crisis,total_flow_baseline,f_long_crisis,f_long_baseline
2024-09-16 08:00:00,-8.0,3468,186156.0,181979.1484963002,0.0,0.0
2024-09-17 08:00:00,16.0,3411,169527.0,178743.1553215641,5.898765388404207e-05,0.0
2024-09-18 08:00:00,40.0,3385,166741.0,176736.75494623368,0.0,0.0
2024-09-19 08:00:00,64.0,3326,163848.0,176086.37012277177,0.0,0.0
2024-09-20 08:00:00,88.0,3360,161262.0,167118.92670309645,0.0,0.0
2024-09-21 08:00:00,112.0,3118,169323.0,172757.64421202405,0.0,0.0
2024-09-22 08:00:00,136.0,3022,181648.0,186712.71906708938,0.00014863912622214393,0.0
2024-09-23 08:00:00,160.0,3464,177321.0,181979.14849630021,0.0,0.0
2024-09-24 08:00:00,184.0,3470,175537.0,178743.1553215641,0.0,0.0
2024-09-25 08:00:00,208.0,3474,174292.0,176736.75494623368,0.0,0.0
2024-09-26 08:00:00,232.0,3443,173724.0,176086.37012277177,7.483134166839354e-05,0.0
2024-09-27 08:00:00,256.0,3532,174544.0,167118.92670309645,0.0,0.0
2024-09-28 08:00:00,280.0,3138,170563.0,172757.64421202405,0.0,0.0
2024-09-29 08:00:00,304.0,3067,194942.0,186712.71906708938,0.0,0.0
2024-09-30 08:00:00,328.0,3598,188774.0,181979.1484963002,0.0,0.0
2024-10-01 08:00:00,352.0,3631,189343.0,178743.1553215641,0.0,0.0
2024-10-02 08:00:00,376.0,3523,177919.0,176736.75494623365,0.0,0.0
2024-10-03 08:00:00,400.0,3482,176051.0,176086.37012277174,0.0,0.0
2024-10-04 08:00:00,424.0,3496,173194.0,167118.92670309645,6.351259281499358e-05,0.0
2024-10-05 08:00:00,448.0,3190,182086.0,172757.64421202405,0.0,0.0
2024-10-06 08:00:00,472.0,3086,203338.0,186712.71906708938,0.00010819423816502572,0.0
2024-10-07 08:00:00,496.0,3590,187448.0,181979.1484963002,0.0,0.0
2024-10-08 08:00:00,520.0,3506,177970.0,178743.1553215641,0.0,0.0
2024-10-09 08:00:00,544.0,3514,178112.0,176736.75494623368,0.0,0.0
2024-10-10 08:00:00,568.0,3482,176340.0,176086.37012277177,0.0,0.0
2024-10-11 08:00:00,592.0,3433,168480.0,167118.92670309645,6.528964862298196e-05,0.0
2024-10-12 08:00:00,616.0,3158,177506.0,172757.64421202405,5.633612384933467e-05,0.0
2024-10-13 08:00:00,640.0,3099,183902.0,186712.71906708938,5.9814466400582916e-05,0.0
