subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,14,-0.7406593406593407,0.002445197640446023
selected_r2_ge_0p8,11,-0.6272727272727273,0.03884525362035334
