slug,name,event_type,data_root,t0_pt,t0_method,center_lat,center_lon,center_method,center_source_window_pt,center_source_file,r_max_with_ge_10_tiles_km,note
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,"/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",2024-07-05 16:00:00,auto_first_day_1600,20.434595694285033,-88.60613109144063,auto_centroid_abs_n_difference,2024-07-05 16:00:00,2897718945970473_2024-07-05_1600.csv,500.0,
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,"/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Across Southeastern Texas, US",2024-07-08 16:00:00,auto_first_day_1600,29.876886743027498,-95.70927163351541,auto_centroid_abs_n_difference,2024-07-08 16:00:00,3611011812282849_2024-07-08_1600.csv,400.0,
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,2024-06-30 16:00:00,auto_first_day_1600,11.315401214363776,-61.19693790738779,auto_centroid_abs_n_difference,2024-06-30 16:00:00,24468477373345527_2024-06-30_1600.csv,300.0,
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Ernesto Puerto Rico 14 August 2024,2024-08-14 16:00:00,auto_first_day_1600,18.28498875030832,-66.34530951205622,auto_centroid_abs_n_difference,2024-08-14 16:00:00,1208879047082673_2024-08-14_1600.csv,100.0,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,2024-09-24 16:00:00,auto_first_day_1600,29.473283400499806,-83.14203518187148,auto_centroid_abs_n_difference,2024-09-24 16:00:00,3153189188863593_2024-09-24_1600.csv,500.0,
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,"/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane John Across Southeastern Guerrero, Mexico",2024-10-01 16:00:00,auto_first_day_1600,18.699666756815194,-98.91729567030939,auto_centroid_abs_n_difference,2024-10-01 16:00:00,1641405433122267_2024-10-01_1600.csv,500.0,
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane John Southern Mexico 25 September 2024,2024-09-25 16:00:00,auto_first_day_1600,19.165715424786807,-99.26459955629062,auto_centroid_abs_n_difference,2024-09-25 16:00:00,4643497397444784_2024-09-25_1600.csv,500.0,
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,"/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Milton Across Florida, US",2024-10-10 16:00:00,auto_first_day_1600,27.56090707996403,-81.51060342896372,auto_centroid_abs_n_difference,2024-10-10 16:00:00,5716507899797439_2024-10-10_1600.csv,300.0,
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,/mnt/e/newdesktop/archive/facebook/disaster data/Line Fire Southern California 9 September 2024,2024-09-09 16:00:00,auto_first_day_1600,33.99962255853246,-117.90218040529497,auto_centroid_abs_n_difference,2024-09-09 16:00:00,3713634161750568_2024-09-09_1600.csv,200.0,
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,/mnt/e/newdesktop/archive/facebook/disaster data/Moldova Flooding Sept 16 2024,2024-09-16 16:00:00,auto_first_day_1600,47.182048824861475,28.551556929292932,auto_centroid_abs_n_difference,2024-09-16 16:00:00,3660584867350809_2024-09-16_1600.csv,200.0,
