slug,name,event_type,r_band_start_km,n_obs,mean,median,r_band_end_km,r_band_center_km
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,250.0,75,551.1466666666666,547.0,300.0,275.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,300.0,75,654.92,617.0,350.0,325.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,350.0,75,705.3733333333333,710.0,400.0,375.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,400.0,75,873.4266666666666,850.0,450.0,425.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,450.0,75,1217.9733333333334,1219.0,500.0,475.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,0.0,35,164.8,186.0,50.0,25.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,50.0,35,341.25714285714287,342.0,100.0,75.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,100.0,35,404.8857142857143,392.0,150.0,125.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,150.0,35,349.34285714285716,362.0,200.0,175.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,200.0,35,438.62857142857143,438.0,250.0,225.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,250.0,35,378.7142857142857,411.0,300.0,275.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,300.0,35,209.62857142857143,203.0,350.0,325.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,350.0,35,125.45714285714286,116.0,400.0,375.0
