slug,event_type,r_bin_km,n_rows,frac_phi_overlap_zero,frac_phi_overlap_nan,mean_n_tiles_overlap,mean_tile_overlap_ratio
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,420.0,13,0.0,0.0,38.92307692307692,0.8320345219073249
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,430.0,13,0.0,0.0,60.53846153846154,0.8662991308710419
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,440.0,13,0.0,0.0,80.76923076923077,0.8753605952504765
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,450.0,13,0.0,0.0,62.61538461538461,0.8600465888220896
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,460.0,13,0.0,0.0,70.6923076923077,0.8521206732681287
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,470.0,13,0.0,0.0,122.38461538461539,0.8829145271402962
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,480.0,13,0.0,0.0,127.0,0.9051978841854044
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,490.0,13,0.0,0.0,122.46153846153847,0.8986883486274172
hurricane_beryl_across_southeastern_texas_us,hurricane,0.0,14,0.0,0.0,71.71428571428571,0.9980019002906326
hurricane_beryl_across_southeastern_texas_us,hurricane,10.0,14,0.0,0.0,187.07142857142858,0.9831389234728114
hurricane_beryl_across_southeastern_texas_us,hurricane,20.0,14,0.0,0.0,337.2857142857143,0.9920234996405464
hurricane_beryl_across_southeastern_texas_us,hurricane,30.0,14,0.0,0.0,437.7857142857143,0.9815786348505621
hurricane_beryl_across_southeastern_texas_us,hurricane,40.0,14,0.0,0.0,524.2857142857143,0.9737311286629204
hurricane_beryl_across_southeastern_texas_us,hurricane,50.0,14,0.0,0.0,508.64285714285717,0.9766068790160471
hurricane_beryl_across_southeastern_texas_us,hurricane,60.0,14,0.0,0.0,529.1428571428571,0.9701866080708997
hurricane_beryl_across_southeastern_texas_us,hurricane,70.0,14,0.0,0.0,528.7142857142857,0.954850541127905
hurricane_beryl_across_southeastern_texas_us,hurricane,80.0,14,0.0,0.0,464.35714285714283,0.9279683913668383
hurricane_beryl_across_southeastern_texas_us,hurricane,90.0,14,0.0,0.0,485.2857142857143,0.9490087232551776
hurricane_beryl_across_southeastern_texas_us,hurricane,100.0,14,0.0,0.0,491.64285714285717,0.9368657604545882
hurricane_beryl_across_southeastern_texas_us,hurricane,110.0,14,0.0,0.0,364.5,0.9400354509919525
hurricane_beryl_across_southeastern_texas_us,hurricane,120.0,14,0.0,0.0,298.35714285714283,0.9198754851684166
hurricane_beryl_across_southeastern_texas_us,hurricane,130.0,14,0.0,0.0,221.21428571428572,0.9107285767763056
hurricane_beryl_across_southeastern_texas_us,hurricane,140.0,14,0.0,0.0,332.07142857142856,0.9281403243918948
hurricane_beryl_across_southeastern_texas_us,hurricane,150.0,14,0.0,0.0,388.35714285714283,0.940800555493284
hurricane_beryl_across_southeastern_texas_us,hurricane,160.0,14,0.0,0.0,432.92857142857144,0.9528345625151295
hurricane_beryl_across_southeastern_texas_us,hurricane,170.0,14,0.0,0.0,576.7857142857143,0.9432780400424121
hurricane_beryl_across_southeastern_texas_us,hurricane,180.0,14,0.0,0.0,523.5714285714286,0.9551789964845944
hurricane_beryl_across_southeastern_texas_us,hurricane,190.0,14,0.0,0.0,621.4285714285714,0.9557823025719959
hurricane_beryl_across_southeastern_texas_us,hurricane,200.0,14,0.0,0.0,635.5714285714286,0.9583609472703394
hurricane_beryl_across_southeastern_texas_us,hurricane,210.0,14,0.0,0.0,753.6428571428571,0.9606653458655592
hurricane_beryl_across_southeastern_texas_us,hurricane,220.0,14,0.0,0.0,794.0714285714286,0.9621047932125683
hurricane_beryl_across_southeastern_texas_us,hurricane,230.0,14,0.0,0.0,815.3571428571429,0.9448083080610158
hurricane_beryl_across_southeastern_texas_us,hurricane,240.0,14,0.0,0.0,873.7857142857143,0.9470820896601191
hurricane_beryl_across_southeastern_texas_us,hurricane,250.0,14,0.0,0.0,945.9285714285714,0.949768773336873
hurricane_beryl_across_southeastern_texas_us,hurricane,260.0,14,0.0,0.0,872.1428571428571,0.9511972961373978
hurricane_beryl_across_southeastern_texas_us,hurricane,270.0,14,0.0,0.0,653.8571428571429,0.9426766292855594
hurricane_beryl_across_southeastern_texas_us,hurricane,280.0,14,0.0,0.0,634.4285714285714,0.9421077310173711
hurricane_beryl_across_southeastern_texas_us,hurricane,290.0,14,0.0,0.0,600.9285714285714,0.944731000432263
hurricane_beryl_across_southeastern_texas_us,hurricane,300.0,14,0.0,0.0,428.5,0.9328373517072287
hurricane_beryl_across_southeastern_texas_us,hurricane,310.0,14,0.0,0.0,253.78571428571428,0.9110810917152711
hurricane_beryl_across_southeastern_texas_us,hurricane,320.0,14,0.0,0.0,312.2857142857143,0.9246064250487233
hurricane_beryl_across_southeastern_texas_us,hurricane,330.0,14,0.0,0.0,228.71428571428572,0.9196584957792969
hurricane_beryl_across_southeastern_texas_us,hurricane,340.0,14,0.0,0.0,161.28571428571428,0.9226740830854491
hurricane_beryl_across_southeastern_texas_us,hurricane,350.0,14,0.0,0.0,175.78571428571428,0.9415576914810336
hurricane_beryl_across_southeastern_texas_us,hurricane,360.0,14,0.0,0.0,92.78571428571429,0.9230144988946811
hurricane_beryl_across_southeastern_texas_us,hurricane,370.0,14,0.0,0.0,21.785714285714285,0.9024157054125999
hurricane_beryl_across_southeastern_texas_us,hurricane,380.0,14,0.0,0.0,21.5,0.8868621027006122
hurricane_beryl_across_southeastern_texas_us,hurricane,390.0,14,0.0,0.0,3.2857142857142856,0.9202380952380952
hurricane_beryl_across_southeastern_texas_us,hurricane,400.0,14,0.0,0.0,4.0,0.9357142857142858
hurricane_beryl_across_southeastern_texas_us,hurricane,410.0,14,0.0,0.0,1.0,1.0
hurricane_beryl_pre_landfall_2024,hurricane,40.0,31,0.0,0.0,16.70967741935484,0.9829222011385199
hurricane_beryl_pre_landfall_2024,hurricane,50.0,31,0.0,0.0,25.548387096774192,0.9494595134194688
hurricane_beryl_pre_landfall_2024,hurricane,60.0,31,0.0,0.0,31.322580645161292,0.9594420246104307
hurricane_beryl_pre_landfall_2024,hurricane,70.0,31,0.0,0.0,99.2258064516129,0.9818341750904702
hurricane_beryl_pre_landfall_2024,hurricane,80.0,31,0.0,0.0,89.19354838709677,0.9351035790819308
hurricane_beryl_pre_landfall_2024,hurricane,90.0,31,0.0,0.0,76.64516129032258,0.9635065083807228
hurricane_beryl_pre_landfall_2024,hurricane,100.0,31,0.0,0.0,90.45161290322581,0.9709485538852111
hurricane_beryl_pre_landfall_2024,hurricane,110.0,31,0.0,0.0,87.80645161290323,0.9916589783298736
hurricane_beryl_pre_landfall_2024,hurricane,120.0,31,0.0,0.0,59.225806451612904,0.9553513381493118
