slug,event_type,r_bin_km,phi_aggregate_mean,phi_overlap_mean,n_rows,mean_n_tiles_overlap,frac_phi_overlap_zero,frac_phi_overlap_nan,time_min_hours,time_max_hours
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,400.0,0.9292270841042604,0.9385770204595931,2,28.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,410.0,0.9375166496263483,0.943120365671186,2,25.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,420.0,0.9711368597602525,1.011497588923031,2,38.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,430.0,1.0037579826153291,1.013961820100898,2,64.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,440.0,0.9613540365955571,0.97916958226037,2,83.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,450.0,0.9847489698296465,0.9792658449893012,2,63.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,460.0,0.9106166142037286,0.9405724569910268,2,72.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,470.0,0.89697592443024,0.9083317917295901,2,127.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,480.0,0.9844524038282658,0.9799061461233686,2,129.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,490.0,0.9578097474217098,0.9704364014110141,2,126.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,0.0,1.0959628803563413,1.0959628803563413,2,72.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,10.0,0.9662921743222167,0.9670963708101616,2,186.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,20.0,0.9038399555177554,0.9040247957594642,2,338.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,30.0,0.8779545692186503,0.8789155952897844,2,435.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,40.0,0.8964562619102994,0.897709237166372,2,521.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,50.0,0.9434319504632077,0.9433853487692346,2,499.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,60.0,0.9648907878481202,0.9647337359282697,2,522.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,70.0,0.9891688012087423,0.9900984907681831,2,516.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,80.0,1.019470830372995,1.0285456288483674,2,442.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,90.0,0.9915423354167522,0.9929158364548142,2,469.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,100.0,0.8896782674884659,0.8916002685032106,2,469.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,110.0,0.8805213228262164,0.8851540423189211,2,354.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,120.0,0.9259049566231472,0.9309942313565289,2,280.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,130.0,0.9748978273282876,0.975503173095958,2,207.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,140.0,0.9796875719677196,0.9794744184121256,2,315.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,150.0,0.9931400886403564,0.9951570983586056,2,379.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,160.0,0.997268286362113,0.9954961914358674,2,421.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,170.0,0.9782979415492115,0.9822275808320495,2,558.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,180.0,0.9862523965549772,0.986602466237227,2,516.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,190.0,0.9742189061310982,0.9731250267105207,2,600.5,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,200.0,0.9710390743092661,0.971082887228221,2,609.0,0.0,0.0,24.0,72.0
hurricane_beryl_across_southeastern_texas_us,hurricane,210.0,0.9631051374585837,0.9634254056229291,2,732.5,0.0,0.0,24.0,72.0
