distance_bin,n_windows,z_clip_pos_rate_mean,z_clip_neg_rate_mean
0-50km,282,0.24919397747817038,0.09952088365126344
50-100km,282,0.28982514702586454,0.05184827115952627
100-150km,282,0.3616256645404081,0.10609618418897701
150-200km,282,0.29536564806013976,0.05659776666739662
200-250km,282,0.2808192651026991,0.005828767094961357
250-300km,282,0.1738037334467912,0.003241401908173182
300-350km,282,0.07363967095136194,0.00293203267010032
350-400km,282,0.06840147774396733,0.0022729404421996916
400-450km,282,0.06846041708609765,0.003561839179363972
450-500km,282,0.07483648397353465,0.006485240828519179
500-550km,282,0.05634345006886468,0.0019895574666151505
550-600km,282,0.04326972561755722,0.0031647983964250047
600-650km,282,0.03136750448575615,0.0037615865564861162
650-700km,282,0.03092502804589177,0.0031060974598749974
700-750km,282,0.045469839082675254,0.0038288229262048294
750-800km,282,0.03257920246365016,0.006033939097019783
800-850km,282,0.02815162374130634,0.005354812257840859
850-900km,282,0.035434555242563434,0.004581673144586186
900-950km,282,0.03435173545198771,0.003912299765356316
950-1000km,282,0.02599014596986548,0.00229389923443585
1000km+,282,0.028604708610574122,0.0025168113209677848
