metric,target,n,spearman_rho,spearman_p
pos_frac,alpha,16,-0.5228519219258932,0.037704224717035974
pos_frac,delta_near,16,0.8417009263373484,4.3476036606059935e-05
pos_frac,D_peak,16,-0.4080058350288762,0.11669013326579673
r_centroid,alpha,16,-0.0823529411764706,0.761733078752474
r_centroid,delta_near,16,-0.18823529411764706,0.4850866091454682
r_centroid,D_peak,16,0.2352941176470588,0.38035580118865675
spatial_cv,alpha,16,0.2764705882352941,0.2999421284923735
spatial_cv,delta_near,16,-0.4264705882352941,0.09949911193753966
spatial_cv,D_peak,16,0.09411764705882353,0.7288144270239805
radial_slope,alpha,16,0.3058823529411765,0.2492542989289186
radial_slope,delta_near,16,-0.6176470588235293,0.010787984601948835
radial_slope,D_peak,16,0.12058823529411765,0.6564245147485952
sign_changes,alpha,16,0.3005285170863082,0.25805721040765883
sign_changes,delta_near,16,-0.5349722293682974,0.032740546599135126
sign_changes,D_peak,16,0.19510751894608488,0.46898708975544645
delta_range,alpha,16,0.5029411764705883,0.047063140467273064
delta_range,delta_near,16,-0.3764705882352941,0.1506481152876309
delta_range,D_peak,16,0.5676470588235295,0.02181459214374292
gradient_0_100,alpha,16,0.13823529411764704,0.6096659407501825
gradient_0_100,delta_near,16,0.2058823529411765,0.4442846410521438
gradient_0_100,D_peak,16,0.34705882352941175,0.18783442010629967
E_low_frac,alpha,16,-0.4264705882352941,0.09949911193753966
E_low_frac,delta_near,16,0.55,0.027293972709730593
E_low_frac,D_peak,16,-0.36764705882352944,0.1612323576755899
E_high_frac,alpha,16,0.4264705882352941,0.09949911193753966
E_high_frac,delta_near,16,-0.55,0.027293972709730593
E_high_frac,D_peak,16,0.36764705882352944,0.1612323576755899
c0,alpha,16,-0.4647058823529412,0.06974367557375584
c0,delta_near,16,0.7705882352941176,0.00047682239536332537
c0,D_peak,16,-0.27941176470588236,0.29461765356841446
c1,alpha,16,-0.4058823529411764,0.11879168453237476
c1,delta_near,16,0.7941176470588236,0.0002391909276256312
c1,D_peak,16,-0.24705882352941175,0.35627504151257705
c2,alpha,16,0.4294117647058823,0.09693648522272379
c2,delta_near,16,-0.5705882352941177,0.020990696368217765
c2,D_peak,16,0.30882352941176466,0.24449869579851793
