k,Ds,spearman_rho_alpha_emp,spearman_p_alpha_emp,pearson_r_alpha_emp,pearson_p_alpha_emp,mae_alpha,n_events,spearman_rho_alpha_pred_vs_delta_near,spearman_p_alpha_pred_vs_delta_near,spearman_rho_alpha_pred_vs_D_peak,spearman_p_alpha_pred_vs_D_peak,criterion,optimizer_success,optimizer_fun
0.0001,5.736152510448681,0.5029411764705883,0.047063140467273036,0.26133665341296963,0.32823096125197104,0.2811112777472998,16.0,-0.3529411764705882,0.17995865788498183,-0.07058823529411765,0.795039302337628,max_spearman,,
0.38566204211634725,1.743328822199989,0.2647058823529412,0.3218043958686153,0.2917520295090338,0.2728961934330873,23.010290195511953,16.0,-0.3294117647058824,0.21280142621621312,-0.05294117647058824,0.8456104411493658,max_pearson,,
0.0032903445623126675,3.856620421163472,0.45,0.0802957365433964,0.2768507142110995,0.29925079388091297,0.1879571238901378,16.0,-0.3764705882352941,0.1506481152876309,-0.047058823529411764,0.8626036946668731,min_mae,,
0.00144918685730992,100.75977892731015,0.01764705882352941,0.9482801500547112,0.07574478399853812,0.7803965747223726,0.23837300204965647,16.0,0.07352941176470588,0.7866792491258565,-0.38235294117647056,0.14385924954389048,min_sse_opt,1.0,0.09438715663140357
