slug,alpha_emp,alpha_pred_global,alpha_pred_expB,alpha_pred_expC,D_peak,delta_near,k_i_expB,k_i_expC
flooding_in_central_and_eastern_europe_sept_16_2024,0.0978433601132348,0.2181572153240919,0.24355294533392152,0.20346888267665045,0.1005919988678328,0.0663782817545836,0.004400768066082325,0.003952927247505565
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.593924263029768,0.2913504809598377,0.580115069732886,0.6433569482376613,0.1218373784779385,-0.2182305293802359,0.004844440252939378,0.012450054626879689
hurricane_beryl_across_southeastern_texas_us,0.6471140254387306,0.22319616664213374,0.273889684933004,0.5647508661506863,0.1182352467469458,-0.1686674012421007,0.004769216101064185,0.01097216903360219
hurricane_beryl_pre_landfall_2024,0.4253901178736078,0.2641858756202988,0.517632264843849,0.36484937203760975,0.1714251397966239,0.0042813828084239,0.005879992966487587,0.007057373448293358
hurricane_john_across_southeastern_guerrero_mexico,-0.0187885228771998,0.22006565740471087,0.25059468572576205,0.19197347979125598,0.1013123414320732,0.0747654742133128,0.004415811146819312,0.003727958543474326
hurricane_john_southern_mexico_25_september_2024,0.0822667257418016,0.22318863143665105,0.2786269446712246,0.19298172457168158,0.1169310535357565,0.0845285322756548,0.004741980331936424,0.003745291891827947
hurricane_milton_across_florida_us,0.2091651414158485,0.2205026865221124,0.2977682264188688,0.1667077055680003,0.1402609197082922,0.1179022527130344,0.005229183334839124,0.003236680569685977
moldova_flooding_2024,0.1828320289226983,0.22010403747477678,0.20424597126475866,0.1976601598052553,0.0629946988646874,0.0454533432570181,0.003615614935451433,0.0038379086976834302
spain_flood,0.2672111552113404,0.22021456219805616,0.2812488887672025,0.12576508572956127,0.1291051378624129,0.1384680031755251,0.004996214556756799,0.0024409418472796
the_earthquake_across_central_mexico,0.3479752777497077,0.221519125065749,0.4152315245535463,0.0770448914612403,0.2475952968745697,0.2504894683816717,0.007470672012200779,0.0014928041049348875
the_flooding_across_bagmati_and_koshi_provinces_nepal,1.1346522923352398,0.22100671533525784,0.3450697590566493,0.5340906441527352,0.1846441741699349,-0.1036825312156231,0.0061560491253408595,0.010378157238480859
the_flooding_across_eastern_bangladesh,0.1691876148186711,0.22360187433117415,0.2511646047298549,0.19476201720484826,0.084443726999841,0.0617398520428817,0.004063539961660683,0.0037798184929168366
the_flooding_across_gujarat_india,0.1609104782222367,0.22237495433067425,0.28954268091287405,0.43870123749672824,0.1248691169593248,-0.0781600835658264,0.004907752750371785,0.00852297685405875
turkiye_earthquake_2023,0.2228386744457222,0.22500582550486417,0.5738366749550382,0.5101487477674685,0.4011400882265244,0.0566336948172924,0.010677183480097902,0.00990764597483974
typhoon_yagi_across_northeastern_vietnam,0.8332010653890054,0.2253828766779873,0.4415486642814264,0.8531888753269659,0.2564811305157264,-0.2739356164808162,0.0076562369357733705,0.016578103781076988
wildfires_in_boise_county_idaho_27_august_2024,0.1809235793291555,0.22083205087720123,0.2925761726979739,0.2771944574406508,0.1370914440779581,0.0403005631767364,0.005162994440599194,0.005384212444135636
