slug,short_name,alpha,delta_near,D_peak,E_total,E_low_frac,E_high_frac,c_0,E_0,root_0,c_1,E_1,root_1,c_2,E_2,root_2,c_3,E_3,root_3,c_4,E_4,root_4,c_5,E_5,root_5,c_6,E_6,root_6,c_7,E_7,root_7,c_8,E_8,root_8,c_9,E_9,root_9
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,0.0978433601132348,0.0663782817545836,0.1005919988678328,0.058510927743967704,0.7073759235036936,0.2926240764963064,0.09652250746988393,0.0093165944482738,0.0,0.17908832206392813,0.03207262709967325,2.4048255576957724,-0.09857544151919614,0.00971711767070446,5.520078110286311,0.013526067379976869,0.0001829544987676743,8.653727912911013,-0.032448484114095434,0.0010529041213027037,11.791534439014281,0.023200754252074213,0.0005382749978651396,14.930917708487787,0.007347909344542451,5.399177173561427e-05,18.071063967910924,-0.009397537729925886,8.831371538538058e-05,21.21163662987926,-0.03705458846998219,0.0013730425266797372,24.352471530749302,0.06414909893038205,0.004115106893579944,27.493479132040253
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,0.593924263029768,-0.2182305293802359,0.1218373784779385,0.17496307819606813,0.0021172331690914037,0.9978827668309086,0.0055786659680163745,3.112151398270407e-05,0.0,-0.01842053524033285,0.00033931611854034436,2.4048255576957724,-0.06838135289899894,0.004676009424297431,5.520078110286311,-0.2339098928970012,0.05471383799508658,8.653727912911013,-0.10444448733908125,0.010908650935523503,11.791534439014281,0.13345274627088372,0.017809635487240866,14.930917708487787,-0.050008122081464296,0.002500812274114637,18.071063967910924,0.15443361598768818,0.02384974174703274,21.21163662987926,-0.20566529107775253,0.04229821195409667,24.352471530749302,0.13355051758099876,0.017835740746152656,27.493479132040253
hurricane_beryl_across_southeastern_texas_us,beryl_tx,0.6471140254387306,-0.1686674012421007,0.1182352467469458,0.0906676238173813,0.3937121283144785,0.6062878716855216,-0.07026212387687006,0.004936766051688634,0.0,-0.17538579500823054,0.030760177090669066,2.4048255576957724,-0.08243519405994508,0.006795561219700805,5.520078110286311,-0.03612878272960805,0.0013052889415232252,8.653727912911013,-0.05471819224974989,0.002994080563080589,11.791534439014281,-0.07689085145464811,0.0059122030374207605,14.930917708487787,0.13226771082861324,0.017494747327841655,18.071063967910924,0.12388803689204204,0.015348245684963971,21.21163662987926,-0.057774926653827885,0.0033379421498551916,24.352471530749302,-0.042220987087435574,0.0017826117506374015,27.493479132040253
hurricane_beryl_pre_landfall_2024,beryl_pre,0.4253901178736078,0.0042813828084239,0.1714251397966239,2.928922587708454,0.015770854003871262,0.9842291459961288,-0.20696371705888458,0.042833980178830035,0.0,-0.05794506312500499,0.003357630340560813,2.4048255576957724,0.33690984957283576,0.11350824673919083,5.520078110286311,-0.3891327720357132,0.15142431427219835,8.653727912911013,0.7522935049106251,0.5659455175307126,11.791534439014281,-0.9612847075068712,0.924068288886571,14.930917708487787,0.7717758176909655,0.5956379127725584,18.071063967910924,-0.45700064807295926,0.20884959233910477,21.21163662987926,0.3916817793336992,0.15341461626201264,24.352471530749302,-0.4121680341641184,0.16988248838671388,27.493479132040253
hurricane_john_across_southeastern_guerrero_mexico,john_gue,-0.0187885228771998,0.0747654742133128,0.1013123414320732,0.0678285945085719,0.5574889756730984,0.4425110243269016,0.095039743780948,0.009032552897948243,0.0,0.1696500538637741,0.028781140775981453,2.4048255576957724,-0.08407740236101037,0.007069009587775232,5.520078110286311,0.07434310167753393,0.005526896767036148,8.653727912911013,-0.03986312496033591,0.0015890687316033557,11.791534439014281,-0.02414402575589835,0.0005829339797014829,14.930917708487787,-0.05720420257591309,0.003272320792346102,18.071063967910924,0.07434985220219427,0.005527900522488132,21.21163662987926,0.02405202054590886,0.0005784996923408219,24.352471530749302,0.07660463929391564,0.005868270761350925,27.493479132040253
hurricane_john_southern_mexico_25_september_2024,john_sm,0.0822667257418016,0.0845285322756548,0.1169310535357565,0.10527664452467643,0.4139667040683509,0.5860332959316491,0.1060228723633936,0.01124084946418445,0.0,0.179833745679367,0.03234017608507125,2.4048255576957724,-0.08585016533660488,0.007370250888322393,5.520078110286311,0.06589793589811832,0.004342537955632511,8.653727912911013,-0.13005162581725827,0.016913425377712156,11.791534439014281,0.024302168821435977,0.0005905954094255749,14.930917708487787,-0.09049841323445756,0.008189962797954644,18.071063967910924,0.13751034013664792,0.018909093644496604,21.21163662987926,-0.053143601781601386,0.002824242410321426,24.352471530749302,0.05055205724355267,0.0025555104915554257,27.493479132040253
hurricane_milton_across_florida_us,milton_fl,0.2091651414158485,0.1179022527130344,0.1402609197082922,0.13016765748406084,0.49808930688960873,0.5019106931103913,0.13224138242085406,0.01748778322457857,0.0,0.21759442794129927,0.04734733507110128,2.4048255576957724,-0.11927818772340949,0.014227286066580915,5.520078110286311,0.155142513645305,0.02406919954018365,8.653727912911013,-0.11212586824069215,0.012572210328729056,11.791534439014281,0.032548673650160544,0.0010594161563846553,14.930917708487787,-0.041831567141487155,0.001749880009512748,18.071063967910924,0.04002098693978833,0.0016016793956347083,21.21163662987926,-0.06906220237579286,0.004769587796994969,24.352471530749302,0.07268617402477787,0.0052832798943602925,27.493479132040253
moldova_flooding_2024,moldova,0.1828320289226983,0.0454533432570181,0.0629946988646874,0.01621250944786819,0.515765285954598,0.48423471404540197,0.03407148711116455,0.001160866233966252,0.0,0.08485860791608066,0.007200983337455107,2.4048255576957724,-0.01222115724438179,0.00014935668439190552,5.520078110286311,0.02666609612838334,0.0007110806827281808,8.653727912911013,0.01305283351993654,0.00017037646289917892,11.791534439014281,0.018309679625594696,0.00033524436799191754,14.930917708487787,0.0473591633213031,0.0022428903504938605,18.071063967910924,0.008574269957108163,7.351810529736761e-05,21.21163662987926,-0.017805570889596833,0.00031703835470445814,24.352471530749302,-0.06205767372323879,0.003851154867939962,27.493479132040253
spain_flood,spain_flood,0.2672111552113404,0.1384680031755251,0.1291051378624129,0.09137240226734783,0.5861149375796254,0.4138850624203746,0.10276650556988175,0.010560954667044537,0.0,0.20734940362678272,0.04299377518438246,2.4048255576957724,0.0081817087732385,6.694035845008784e-05,5.520078110286311,0.0662108351265501,0.004383874688155201,8.653727912911013,-0.08204461650881914,0.006731319098079198,11.791534439014281,-0.006277135145383567,3.9402425633409573e-05,14.930917708487787,-0.1508569222946119,0.02275781100420257,18.071063967910924,0.05585778294914306,0.0031200919159935767,21.21163662987926,0.02335035849276521,0.0005452392417406523,24.352471530749302,-0.013152706324788616,0.00017299368366613448,27.493479132040253
the_earthquake_across_central_mexico,the_earthquake_across_,0.3479752777497077,0.2504894683816717,0.2475952968745697,0.35802860293238237,0.4736923073950251,0.5263076926049749,0.21065598128407906,0.044375942450758266,0.0,0.35386360732024874,0.1252194525856992,2.4048255576957724,-0.13511431546880576,0.018255878244603962,5.520078110286311,0.28268744628189946,0.0799121922853818,8.653727912911013,-0.10556272161324812,0.01114348819439612,11.791534439014281,0.08017934304688105,0.006428727051429433,14.930917708487787,-0.18410507072924562,0.03389467706822053,18.071063967910924,0.0796749757152063,0.006348101755218715,21.21163662987926,-0.13348169375364968,0.01781736256734312,24.352471530749302,0.12096603130354923,0.014632780729331251,27.493479132040253
