slug,short_name,disaster_type,event_type,alpha,delta_near,D_peak,t_peak_hours,t_snap,t_snap_abs_diff_h,n_profile_bins,pos_frac,r_centroid,spatial_cv,radial_slope,sign_changes,delta_range,gradient_0_100,E_low_frac,E_high_frac,c0,c1,c2
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.0978433601132348,0.0663782817545836,0.1005919988678328,416.0,416.0,0.0,21,1.0,95.08308702306488,0.2962280562530311,-0.0001424772237500419,0.0,0.12861503273342953,-0.05170826172442371,0.7073759235036936,0.2926240764963064,0.09652250746988393,0.17908832206392813,-0.09857544151919614
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.593924263029768,-0.2182305293802359,0.1218373784779385,-8.0,-8.0,0.0,19,0.4324708150006076,99.17610940805663,5.916513349786989,0.0010798176994468128,6.0,0.5577087249225413,-0.35924793269370026,0.0021172331690914037,0.9978827668309086,0.0055786659680163745,-0.01842053524033285,-0.06838135289899894
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.6471140254387306,-0.1686674012421007,0.1182352467469458,-8.0,-8.0,0.0,21,0.018624882434086356,60.89037460641668,1.0233746115421811,0.0012035506342628472,3.0,0.38442689910479755,0.25607615273657036,0.3937121283144785,0.6062878716855216,-0.07026212387687006,-0.17538579500823054,-0.08243519405994508
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,0.4253901178736078,0.0042813828084239,0.1714251397966239,16.0,16.0,0.0,14,0.18075137288975832,162.3498306681018,3.566461101606707,-0.004009005793766607,3.0,0.9160374255822941,0.3703625508231847,0.015770854003871262,0.9842291459961288,-0.20696371705888458,-0.05794506312500499,0.33690984957283576
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,-0.0187885228771998,0.0747654742133128,0.1013123414320732,-8.0,-8.0,0.0,21,1.0,92.82352359205106,0.4282794113572665,-0.00018042376603011177,0.0,0.16906937168148817,-0.002431156279875335,0.5574889756730984,0.4425110243269016,0.095039743780948,0.1696500538637741,-0.08407740236101037
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.0822667257418016,0.0845285322756548,0.1169310535357565,136.0,136.0,0.0,21,0.998340057116679,93.5953392818951,0.5547296613699827,-0.00036201888101065915,2.0,0.3369266695254025,0.24471940370328515,0.4139667040683509,0.5860332959316491,0.1060228723633936,0.179833745679367,-0.08585016533660488
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.2091651414158485,0.1179022527130344,0.1402609197082922,64.0,64.0,0.0,21,1.0,94.42678154586467,0.1821396561211489,-0.00023434769259390842,0.0,0.09534671603736045,0.06858776548614309,0.49808930688960873,0.5019106931103913,0.13224138242085406,0.21759442794129927,-0.11927818772340949
moldova_flooding_2024,moldova,flood,INFL,0.1828320289226983,0.0454533432570181,0.0629946988646874,448.0,448.0,0.0,20,0.9731429401868399,78.16633132016912,0.859538471382174,-0.000502401197812014,1.0,0.2511644229153388,0.06306027573717676,0.515765285954598,0.48423471404540197,0.03407148711116455,0.08485860791608066,-0.01222115724438179
spain_flood,spain_flood,flood,INFL,0.2672111552113404,0.1384680031755251,0.1291051378624129,104.0,104.0,0.0,21,1.0,79.48103384410777,0.596425762229896,-0.0007524804096264905,0.0,0.26568247656328525,0.032465374943028966,0.5861149375796254,0.4138850624203746,0.10276650556988175,0.20734940362678272,0.0081817087732385
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,0.3479752777497077,0.2504894683816717,0.2475952968745697,32.0,32.0,0.0,21,1.0,86.21630540684075,0.3840878870135115,-0.0009871757300321177,0.0,0.39414802564954443,0.27065995622127076,0.4736923073950251,0.5263076926049749,0.21065598128407906,0.35386360732024874,-0.13511431546880576
