hours_since_quake,0-25km,25-50km,50-100km,100-200km,200km+
0.0,0.999677880389938,0.9977002003318692,1.0187966671773752,1.0082867750733882,1.0148492490840797
24.0,0.9950562221791822,0.9918255556114656,1.0159882773947206,1.0036872802624075,1.0014934477964916
48.0,0.9922586582563652,0.9910152695919376,1.0087161677686372,0.998315731114216,1.0034385721111712
72.0,1.0100874294907565,1.001942059804238,1.016230720880171,1.0093693018297212,1.00909415537498
96.0,1.005582951435836,0.9973238150261228,1.018521446078189,1.0097638420369592,1.0041703309316852
120.0,1.0078659309629792,1.009867497321537,1.0298860628206388,1.024731257078706,0.9943252200206032
144.0,1.0068286919658038,0.9974272492218392,1.010463033063935,1.004586714833657,1.0038791623269672
168.0,1.0133643541485788,1.011706023619581,1.03035391836325,1.0185208854463474,1.0112733599419974
192.0,1.0098823266297974,1.0007836674002837,1.0163887833473346,1.0085262772728605,1.0005465241643228
216.0,1.0160680240680005,1.0115831987821884,1.0337256783782,1.0175289995410324,1.0013644604232923
240.0,1.0202501236174706,1.0093003768458113,1.020908789914858,1.007638758244514,1.0007444416686502
264.0,1.025774307078382,1.0096886836690429,1.0256195259146452,1.0140498271183092,1.008621829585964
288.0,1.0207513951569278,1.0038815915679289,1.0127385688200672,1.010077118239576,1.0068632434581328
312.0,1.0041867840317649,0.9974406452028142,1.012994558734537,1.0067826624244771,0.9931049985273608
336.0,1.0299343739610105,1.0153196018962207,1.0269403967696709,1.024417262568382,1.0158739623975916
360.0,1.0243202714862756,1.0104781233342577,1.0249392252019287,1.0181544599551826,1.0074240680131772
384.0,1.0502200885914157,1.035637978566852,1.0543470073026775,1.042259037627646,1.0270640137480989
