distance_band,distance_center_km,n_points,t_min,t_max,phi_0,phi_inf,tau,sse,r2,fit_ok
0-25km,12.5,16,16.0,376.0,1.0110049263959762,1.7728454262312567,9999.999999999924,0.0010746479164377692,0.5042488993810604,1
25-50km,37.5,16,16.0,376.0,1.0039421415043184,1.6037322849160294,9999.999999997846,0.0010559622962943013,0.39084132179294706,1
50-100km,75.0,16,16.0,376.0,1.0214716577905112,1.4191013356833106,9999.99999999865,0.0012806663202367952,0.18864759018733002,1
100-200km,150.0,16,16.0,376.0,1.020054293593831,1.5194459129145095,9999.999322800697,0.0007537650918373122,0.38389944247628016,1
200km+,300.0,16,16.0,376.0,1.0214948714872734,1.207472493375162,9999.99846724635,0.0014685648944972023,0.04247167532295548,1
