r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,r_center_km,abs_dev
0.0,0.9749440109810312,920.25,879.75,5.0,0.02505598901896877
10.0,0.8318897934592976,782.5,736.0,15.0,0.1681102065407024
20.0,0.8023143874659777,829.5,784.5,25.0,0.19768561253402228
30.0,0.8310405533722179,859.5,819.0,35.0,0.16895944662778206
40.0,0.8498895736459522,848.75,812.0,45.0,0.1501104263540478
50.0,0.8978447614499949,750.25,688.5,55.0,0.10215523855000508
60.0,0.936382484263178,605.0,565.0,65.0,0.06361751573682195
70.0,0.9786456899778926,518.75,480.25,75.0,0.021354310022107414
80.0,0.9825513240306964,461.75,431.0,85.0,0.01744867596930355
90.0,0.90782842416356,370.5,337.5,95.0,0.09217157583643998
100.0,0.9016518037368956,399.0,365.5,105.0,0.09834819626310443
110.0,0.9459840579221757,421.25,396.25,115.0,0.05401594207782434
120.0,0.99137478101725,451.25,416.0,125.0,0.008625218982750038
130.0,0.9845676853518951,426.25,394.75,135.0,0.015432314648104906
140.0,0.9654240104015523,472.5,443.0,145.0,0.034575989598447654
150.0,0.9670887746951057,416.5,387.25,155.0,0.03291122530489432
160.0,0.9778225687121767,503.5,470.75,165.0,0.022177431287823346
170.0,0.9563828555761068,621.25,586.0,175.0,0.043617144423893195
180.0,0.9712172618112884,721.25,692.75,185.0,0.028782738188711576
190.0,0.9754585904825563,755.75,724.5,195.0,0.024541409517443658
200.0,0.9682146402145196,842.75,811.25,205.0,0.03178535978548036
210.0,0.9655995704419614,790.75,756.5,215.0,0.03440042955803857
220.0,0.9772269706123966,757.25,732.25,225.0,0.022773029387603394
230.0,0.9713788387768187,720.0,691.75,235.0,0.028621161223181257
240.0,0.9762846818938814,665.25,642.0,245.0,0.0237153181061186
250.0,0.9660155908504808,497.25,472.0,255.0,0.03398440914951917
260.0,0.9695039265233106,435.0,413.75,265.0,0.030496073476689367
270.0,0.9762105793338972,413.75,391.5,275.0,0.02378942066610279
280.0,0.9731405014600747,337.75,322.25,285.0,0.02685949853992531
290.0,0.9598691758049688,164.0,149.0,295.0,0.04013082419503122
300.0,0.9603341338788252,102.75,94.5,305.0,0.03966586612117484
310.0,0.9227846614551551,84.25,81.5,315.0,0.07721533854484486
