slug,name,event_type,output_root,value_col,r_max_km,time_min,time_max,sigma1_energy,rank1_rel_error,S_max_abs_delta,mode_used,n_r_bins_raw,n_time_raw,n_r_bins_used,n_time_used,nan_frac_raw_matrix
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.9315296614613681,0.2616683751213199,0.19927399015558045,drop_complete,21,7,21,7,0.0
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,200.0,,,0.926156258036644,0.27174205041427785,0.7657633224849418,drop_complete,18,11,18,11,0.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.904385473372197,0.3092159870184643,0.26727448612057336,drop_complete,21,10,21,10,0.0
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs,phi_overlap,200.0,,,0.883757850174362,0.3409430301760664,0.8663653176905799,drop_complete,21,36,21,36,0.0
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.8725584560521701,0.35698955719716735,0.3292482123622946,drop_complete,21,15,21,15,0.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.8506176062351863,0.3865001859828967,0.14429715686279632,drop_complete,21,15,21,15,0.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.8478312742039664,0.3900881000441227,0.842254393235784,drop_complete,15,12,15,12,0.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.6948528179368363,0.5524012871664616,1.5739501834059366,fill_missing_fallback,21,14,21,14,0.04421768707482993
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.6077947886654547,0.626262893148353,0.31799874798567795,drop_complete,21,14,21,14,0.0
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0.5468610254851536,0.6731559808208245,0.6939778968826663,drop_complete,21,15,21,15,0.0
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,,,,fill_missing_fallback,0,0,0,0,
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.9896588987115015,0.10169120556124049,0.5216639037719394,drop_complete,18,15,16,2,0.05555555555555555
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.9627418472190484,0.19302371041131558,6.043410634389885,drop_complete,31,10,31,10,0.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.9510961285657628,0.2211421973171051,0.3520272647859739,drop_complete,31,12,31,12,0.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.9303342050884937,0.2639427871935626,0.19927399015558045,drop_complete,31,7,31,7,0.0
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,300.0,,,0.926156258036644,0.27174205041427785,0.7657633224849418,drop_complete,18,11,18,11,0.0
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.8986839608435168,0.3183018051417291,0.3903871048147345,drop_complete,28,11,28,11,0.0
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs,phi_overlap,300.0,,,0.8910061473188804,0.3301421704071138,0.8663653176905799,drop_complete,31,36,31,36,0.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.8426251428949039,0.39670500010095167,0.842254393235784,drop_complete,25,12,25,12,0.0
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.8203543772978859,0.42384622530124605,0.3292482123622946,drop_complete,31,15,31,15,0.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.772337697680449,0.47713970943482664,0.2684948932020459,drop_complete,31,15,31,15,0.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.6843046258590645,0.5618677550286505,1.5739501834059366,fill_missing_fallback,31,14,31,14,0.029953917050691243
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.5947961720553191,0.6365562252815385,0.6939778968826663,drop_complete,31,15,31,15,0.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,0.5008753750661378,0.7064875263823576,0.31799874798567795,drop_complete,31,14,31,14,0.0
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,300.0,,,,,,fill_missing_fallback,0,0,0,0,
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.9896588987115015,0.10169120556124049,0.5216639037719394,drop_complete,18,15,16,2,0.05555555555555555
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.9545283057178885,0.2132409301286022,0.3520272647859739,drop_complete,50,12,50,12,0.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.9498476534276084,0.22394719594670454,6.043410634389885,drop_complete,35,10,35,10,0.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.9315811524300639,0.26156996687298845,0.2371536287262035,drop_complete,50,7,50,7,0.0
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,500.0,,,0.926156258036644,0.27174205041427785,0.7657633224849418,drop_complete,18,11,18,11,0.0
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs,phi_overlap,500.0,,,0.8973500897661163,0.32039024678333117,0.8663653176905799,drop_complete,50,36,50,36,0.0
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.7813216294404274,0.46763059198428464,0.4519464454697264,drop_complete,31,11,31,11,0.0
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.7504022171059169,0.49959762098521154,0.3292482123622946,drop_complete,36,15,36,15,0.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.7023432066960388,0.5455793189848397,0.842254393235784,drop_complete,44,12,44,12,0.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.6893024977582491,0.5574024598454435,0.3595774860789557,drop_complete,35,15,35,15,0.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.6523616815543206,0.5896086146298061,1.5739501834059366,fill_missing_fallback,50,14,50,14,0.018571428571428572
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.6418648933398384,0.5984439043554223,0.6939778968826663,drop_complete,50,15,50,15,0.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,0.3709539743470226,0.7931242182993642,0.39819105370219865,drop_complete,50,14,50,14,0.0
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,500.0,,,,,,fill_missing_fallback,0,0,0,0,
