slug,n_units_fit,rho_alpha_vs_delta_peak_unit,p_alpha_vs_delta_peak_unit,n_alpha_vs_delta_peak_unit,rho_alpha_vs_D_peak_unit,p_alpha_vs_D_peak_unit,n_alpha_vs_D_peak_unit,rho_alpha_vs_distance_km,p_alpha_vs_distance_km,n_alpha_vs_distance_km
flooding_in_central_and_eastern_europe_sept_16_2024,378,-0.31888461521797884,2.2139813557596032e-10,378,0.10247289685011458,0.046486789680522285,378,0.22530666393827165,9.736128874706537e-06,378
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,97,0.06131653692404796,0.5507538108358073,97,-0.08075163054912687,0.4316996894002509,97,0.07935777403745002,0.4397171413241489,97
hurricane_beryl_across_southeastern_texas_us,183,-0.07313214226970464,0.3251880520194726,183,0.3851499533965679,7.298638743022502e-08,183,0.175469754764124,0.017505751279260566,183
hurricane_beryl_pre_landfall_2024,11,0.5545454545454546,0.07665233333978243,11,-0.6363636363636364,0.03528698122006231,11,-0.48181818181818187,0.13343383825682875,11
hurricane_john_southern_mexico_25_september_2024,267,-0.14659636681843802,0.01652404585790279,267,0.17213543669672252,0.004793336693667198,267,0.14415524809003896,0.01843379236214434,267
hurricane_milton_across_florida_us,148,-0.012182707292966163,0.8831653102799942,148,0.3907720897174397,9.093047623827654e-07,148,-0.057389398712505146,0.4884201906066679,148
moldova_flooding_2024,20,0.18045112781954886,0.4464646102705484,20,-0.3744360902255639,0.10384052952246083,20,-0.12180451127819547,0.6089566221649011,20
spain_flood,175,0.06025302283922973,0.4283138063556559,175,-0.17734885803851325,0.018877813671163108,175,0.17605911330049262,0.01977513856172711,175
the_flooding_across_bagmati_and_koshi_provinces_nepal,38,0.001203632782580151,0.9942777581671578,38,-0.18371813108655213,0.26954393871939275,38,0.08151876572929204,0.6265843854252023,38
the_flooding_across_eastern_bangladesh,27,0.4230769230769231,0.027893542122809752,27,0.1343101343101343,0.5041917954419021,27,0.03663003663003663,0.8560619644374672,27
turkiye_earthquake_2023,256,-0.4758940833142594,7.115437089804356e-16,256,-0.23258468757152667,0.00017350444780774976,256,0.2624821183337147,2.0999782904622815e-05,256
typhoon_yagi_across_northeastern_vietnam,16,0.4147058823529412,0.11022940391770165,16,-0.4147058823529412,0.11022940391770165,16,-0.0411764705882353,0.8796536149318311,16
wildfires_in_boise_county_idaho_27_august_2024,19,0.431578947368421,0.06502990156827812,19,0.431578947368421,0.06502990156827812,19,-0.06315789473684211,0.797282917844937,19
