distance_bin,model,n_points,sse,aic,bic,tau,A,C,alpha,beta
0-50km,exponential,279,65.66992854196022,-397.5932168622979,-386.6995815168338,187.69405544748705,-2.5430032500643676,1.461223744520091,,
0-50km,power_law,279,76.35404632934535,-355.5367804918465,-344.64314514638244,,-7.868976188089736,2.374189777615755,0.2965939454435666,
0-50km,stretched_exp,279,64.33427845789431,-401.32625418776496,-386.8014070604795,250.0948913941472,-2.0100150859730883,1.449403800373229,,1.6820277759416042
50-100km,exponential,279,43.64089596143984,-511.60556820164607,-500.711932856182,74.20150883262284,-2.5305222244047285,1.933593729302672,,
50-100km,power_law,279,45.75443832937094,-498.41051201745444,-487.51687667199036,,-14.50310017818497,2.055333779966865,0.6831376343400448,
50-100km,stretched_exp,279,43.390610971051636,-511.21026763250916,-496.6854205052237,49.3485795103275,-3.3106883575151653,1.9397538006349107,,0.7109743775637759
100-200km,exponential,279,39.3331039236201,-540.6015326990325,-529.7078973535685,93.21887666669166,-2.051576238793662,1.8686517277444408,,
100-200km,power_law,279,40.91799278358974,-529.5800884679834,-518.6864531225193,,-8.991096457121138,2.0660575499445053,0.5435809161534055,
100-200km,stretched_exp,279,39.210734459106575,-539.4708843611297,-524.9460372338442,70.49565739648605,-2.4860798248224927,1.8759937555500423,,0.7486612951849448
200-500km,exponential,279,74.00231115498983,-364.26521258131874,-353.37157723585466,48.95440994223516,-0.7133511265663586,1.3891720430230063,,
200-500km,power_law,279,74.70244309321313,-361.6380167646789,-350.74438141921485,,-7.91383290057842,1.3854130955897463,1.1551750800764988,
200-500km,stretched_exp,279,73.7243269557595,-363.3152288020957,-348.79038167481025,79.30404086817246,-0.5301233041776351,1.3905122472304383,,1.999999562629155
500-1000km,exponential,279,63.36730368724228,-407.5515913046492,-396.65795595918513,145.03310746663053,-0.4510778101826481,0.8159424345484356,,
500-1000km,power_law,279,63.226343090633634,-408.1729182623366,-397.27928291687255,,-8.555284174236737,8.786515818554053,0.010000056603055833,
500-1000km,stretched_exp,279,63.21632274264089,-406.21713873297296,-391.6922916056875,1999.9999657858862,-0.9721871157946034,1.2192952536429096,,0.24668945517431506
1000km+,exponential,279,58.29155676308777,-430.8455118929167,-419.9518765474526,1999.9999999999998,-0.7885096324213765,1.1208836051547626,,
1000km+,power_law,279,59.20615501017849,-426.5019708838511,-415.608335538387,,-15.527592630582106,15.164849414055997,0.010000000000000002,
1000km+,stretched_exp,279,58.27862037928955,-428.9074359833316,-414.38258885604614,1999.9999999999998,-0.7391557083434495,1.112088871509108,,1.2125878379452983
