trial,tau,beta,A,C,sse
139,250.09534537091193,1.6818846173667934,-2.0100509251390504,1.449408925087776,64.33427839661967
94,250.09525841743243,1.6818945649824333,-2.0100486262319706,1.4494085432923378,64.33427839676425
31,250.0951272123274,1.6818907215528838,-2.010050075068562,1.4494086136344464,64.33427839678419
45,250.09525607343323,1.6818805872176712,-2.010052279892463,1.4494090215859918,64.33427839679686
99,250.09550434469747,1.6818791338340298,-2.0100518136023005,1.4494091876678872,64.33427839682017
276,250.09501508175592,1.6818937005874683,-2.0100496825985052,1.4494084592943766,64.33427839701935
180,250.0946971513936,1.6818923909651993,-2.0100511064973037,1.4494083545691892,64.33427839740371
197,250.0950383166369,1.6818711601499698,-2.010055487047534,1.449409242805982,64.33427839747546
104,250.09507264360968,1.6818706695832857,-2.0100554959744277,1.449409275517591,64.33427839751738
102,250.09538256294437,1.6818675856260528,-2.0100552427097784,1.449409526541721,64.33427839791456
178,250.09534084760358,1.681866955593476,-2.010055550397315,1.4494095283583384,64.33427839797861
71,250.09434743285334,1.6818937800990297,-2.0100519373559464,1.4494081431042436,64.33427839811034
116,250.0953894529573,1.6818650449177621,-2.0100558848766568,1.4494096169970303,64.3342783982624
234,250.09536147340057,1.6818644619509586,-2.010056129756224,1.4494096235961256,64.33427839833115
66,250.0951994278006,1.6818629778664835,-2.0100570703649363,1.4494095985521203,64.33427839846436
230,250.09448145901655,1.6819093755289238,-2.0100474081777193,1.449407670929072,64.33427839975005
44,250.0945617336186,1.6818509174070195,-2.0100623966449125,1.4494097133781887,64.33427840015777
108,250.09465742270342,1.681850443546034,-2.0100621934498606,1.4494097744114012,64.33427840029793
273,250.09266661290766,1.6818695293389596,-2.010064003755871,1.4494081868411157,64.33427840043734
84,250.09466479361402,1.6819173142080495,-2.0100447124764043,1.4494074850373029,64.33427840072937
96,250.09470740215036,1.6819188151003805,-2.0100441716069355,1.4494074531133263,64.33427840092048
36,250.09465044519246,1.6818466359644317,-2.010063211288915,1.4494099016836222,64.33427840106884
286,250.0953968505401,1.6818498162918827,-2.0100598314441505,1.4494101421585273,64.33427840114683
55,250.0951828483011,1.681926278651711,-2.0100406054452846,1.4494074206131151,64.33427840122138
124,250.09494717937582,1.681845859142206,-2.0100623996817197,1.4494100672221548,64.33427840152382
259,250.09517784276386,1.6819316378349163,-2.0100392215987735,1.4494072342881392,64.33427840256765
208,250.09446197392342,1.6819240833999896,-2.0100436350150117,1.4494071574881697,64.33427840292983
173,250.0943882101743,1.6818376925588097,-2.0100664397594015,1.4494100853101477,64.3342784029371
219,250.09454623303395,1.681832221883816,-2.0100673289440216,1.4494103469881245,64.3342784046321
