slug,storm_name,r_bin_km,phi_mean,n_tiles_mean,n_tiles_crisis_mean,n_tiles_overlap_mean,baseline_sum_mean,crisis_sum_mean,n_eff_mean,r_center_km,abs_dev
hurricane_beryl_across_southeastern_texas_us,Beryl,0.0,0.9749440109810312,920.25,919.5,879.75,302636.0500492424,294888.3885081693,919.5,5.0,0.02505598901896877
hurricane_beryl_across_southeastern_texas_us,Beryl,10.0,0.8318897934592976,782.5,771.0,736.0,300013.9945567299,249493.42886244005,771.0,15.0,0.1681102065407024
hurricane_beryl_across_southeastern_texas_us,Beryl,20.0,0.8023143874659777,829.5,823.75,784.5,267696.61696626816,214687.5978149835,823.75,25.0,0.19768561253402228
hurricane_beryl_across_southeastern_texas_us,Beryl,30.0,0.8310405533722179,859.5,850.25,819.0,264270.1247733847,219643.02072948625,850.25,35.0,0.16895944662778206
hurricane_beryl_across_southeastern_texas_us,Beryl,40.0,0.8498895736459522,848.75,849.25,812.0,181212.38429839912,153957.81820102228,848.75,45.0,0.1501104263540478
hurricane_beryl_across_southeastern_texas_us,Beryl,50.0,0.8978447614499949,750.25,721.0,688.5,146295.75638591446,131311.2264399642,721.0,55.0,0.10215523855000508
hurricane_beryl_across_southeastern_texas_us,Beryl,60.0,0.936382484263178,605.0,609.0,565.0,99400.62316075151,93055.07462667729,605.0,65.0,0.06361751573682195
hurricane_beryl_across_southeastern_texas_us,Beryl,70.0,0.9786456899778926,518.75,515.25,480.25,95141.25217538243,93103.74672043361,515.25,75.0,0.021354310022107414
hurricane_beryl_across_southeastern_texas_us,Beryl,80.0,0.9825513240306964,461.75,472.75,431.0,53090.825869036984,52162.32294222059,461.75,85.0,0.01744867596930355
hurricane_beryl_across_southeastern_texas_us,Beryl,90.0,0.90782842416356,370.5,372.0,337.5,29494.689521450633,26775.008150391575,370.5,95.0,0.09217157583643998
hurricane_beryl_across_southeastern_texas_us,Beryl,100.0,0.9016518037368956,399.0,399.25,365.5,32301.475937986797,29108.91437234031,399.0,105.0,0.09834819626310443
hurricane_beryl_across_southeastern_texas_us,Beryl,110.0,0.9459840579221757,421.25,437.5,396.25,20620.462236960426,19505.064984694134,421.25,115.0,0.05401594207782434
hurricane_beryl_across_southeastern_texas_us,Beryl,120.0,0.99137478101725,451.25,452.75,416.0,25318.08412527747,25096.712182741947,451.25,125.0,0.008625218982750038
hurricane_beryl_across_southeastern_texas_us,Beryl,130.0,0.9845676853518951,426.25,431.25,394.75,32047.558660984527,31551.53562977751,426.25,135.0,0.015432314648104906
hurricane_beryl_across_southeastern_texas_us,Beryl,140.0,0.9654240104015523,472.5,473.0,443.0,51898.25894842335,50101.48872918307,472.5,145.0,0.034575989598447654
hurricane_beryl_across_southeastern_texas_us,Beryl,150.0,0.9670887746951057,416.5,422.5,387.25,91925.96090424681,88899.42194470117,416.5,155.0,0.03291122530489432
hurricane_beryl_across_southeastern_texas_us,Beryl,160.0,0.9778225687121767,503.5,505.0,470.75,46297.566979645926,45270.16595201992,503.5,165.0,0.022177431287823346
hurricane_beryl_across_southeastern_texas_us,Beryl,170.0,0.9563828555761068,621.25,621.0,586.0,48066.35811293502,45969.45486077303,621.0,175.0,0.043617144423893195
hurricane_beryl_across_southeastern_texas_us,Beryl,180.0,0.9712172618112884,721.25,719.0,692.75,84990.49470870834,82543.16280051754,719.0,185.0,0.028782738188711576
hurricane_beryl_across_southeastern_texas_us,Beryl,190.0,0.9754585904825563,755.75,757.0,724.5,146477.69647920653,142883.13225518866,755.75,195.0,0.024541409517443658
hurricane_beryl_across_southeastern_texas_us,Beryl,200.0,0.9682146402145196,842.75,840.5,811.25,269708.05117724434,261132.67848491002,840.5,205.0,0.03178535978548036
hurricane_beryl_across_southeastern_texas_us,Beryl,210.0,0.9655995704419614,790.75,784.25,756.5,139619.9761822619,134816.5656239711,784.25,215.0,0.03440042955803857
hurricane_beryl_across_southeastern_texas_us,Beryl,220.0,0.9772269706123966,757.25,754.5,732.25,132370.70284904682,129357.27893606244,754.5,225.0,0.022773029387603394
hurricane_beryl_across_southeastern_texas_us,Beryl,230.0,0.9713788387768187,720.0,721.25,691.75,81300.74296974938,78975.92843990016,720.0,235.0,0.028621161223181257
hurricane_beryl_across_southeastern_texas_us,Beryl,240.0,0.9762846818938814,665.25,668.25,642.0,132246.44431831333,129112.15014979642,665.25,245.0,0.0237153181061186
hurricane_beryl_across_southeastern_texas_us,Beryl,250.0,0.9660155908504808,497.25,492.5,472.0,169826.94821992726,164054.1010293198,492.5,255.0,0.03398440914951917
hurricane_beryl_across_southeastern_texas_us,Beryl,260.0,0.9695039265233106,435.0,435.25,413.75,138662.76654832385,134431.54520508207,435.0,265.0,0.030496073476689367
hurricane_beryl_across_southeastern_texas_us,Beryl,270.0,0.9762105793338972,413.75,407.5,391.5,91166.04659943288,88998.39529397602,407.5,275.0,0.02378942066610279
hurricane_beryl_across_southeastern_texas_us,Beryl,280.0,0.9731405014600747,337.75,337.5,322.25,34860.229158028436,33924.847556562076,337.5,285.0,0.02685949853992531
hurricane_beryl_across_southeastern_texas_us,Beryl,290.0,0.9598691758049688,164.0,161.25,149.0,5745.4179626824225,5514.700976248217,161.25,295.0,0.04013082419503122
hurricane_beryl_across_southeastern_texas_us,Beryl,300.0,0.9603341338788252,102.75,98.75,94.5,4991.575433700895,4793.465295493822,98.75,305.0,0.03966586612117484
hurricane_beryl_across_southeastern_texas_us,Beryl,310.0,0.9227846614551551,84.25,85.25,81.5,9518.359673380974,8782.085052951497,84.25,315.0,0.07721533854484486
hurricane_beryl_across_southeastern_texas_us,Beryl,320.0,0.9968978783092004,39.5,40.25,36.25,1218.3538049475085,1214.5335044547744,39.5,325.0,0.0031021216907995974
hurricane_beryl_across_southeastern_texas_us,Beryl,330.0,0.9574606394009931,34.5,34.75,33.25,1766.764411228775,1691.535187938819,34.5,335.0,0.04253936059900687
hurricane_beryl_across_southeastern_texas_us,Beryl,340.0,1.024419246247596,8.5,9.75,8.0,200.5003314818314,204.75663801723908,8.5,345.0,0.02441924624759606
hurricane_beryl_across_southeastern_texas_us,Beryl,350.0,1.0022256137557268,15.5,16.5,14.5,344.25309997910483,344.54748316711857,15.5,355.0,0.0022256137557268296
hurricane_beryl_across_southeastern_texas_us,Beryl,360.0,,0.0,1.0,0.0,,12.487416510199001,0.0,365.0,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,0.0,1.0676365030621784,905.25,902.25,830.5,42042.07578796819,44917.555250109624,902.25,5.0,0.06763650306217839
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,10.0,1.044432682185298,718.75,735.0,647.25,51299.35020510385,53585.11102506548,718.75,15.0,0.044432682185298056
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,20.0,1.1261793605380463,739.5,731.75,672.75,43573.49473445704,49071.34976898835,731.75,25.0,0.12617936053804635
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,30.0,1.0534583203307784,794.0,733.0,679.5,60246.892532826576,63478.349659787826,733.0,35.0,0.05345832033077835
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,40.0,1.0521513876093285,946.75,918.5,866.0,97377.75884357688,102467.0638532619,918.5,45.0,0.05215138760932847
