slug,n_units_fit,rho_alpha_vs_delta_peak_unit,p_alpha_vs_delta_peak_unit,n_alpha_vs_delta_peak_unit,rho_alpha_vs_D_peak_unit,p_alpha_vs_D_peak_unit,n_alpha_vs_D_peak_unit,rho_alpha_vs_distance_km,p_alpha_vs_distance_km,n_alpha_vs_distance_km
cambodia_monsoon_season_study_2024_05_09,4,-0.6000000000000001,0.4,4,-0.6000000000000001,0.4,4,0.6000000000000001,0.4,4
flooding_in_central_and_eastern_europe_sept_16_2024,412,-0.4271311015070241,1.0630127850777455e-19,412,-0.07123252977130647,0.14893498529899354,412,-0.0978142341857871,0.047240219472404775,412
hurricane_john_across_southeastern_guerrero_mexico,111,-0.025386100386100383,0.7914145900998479,111,0.08923306423306422,0.3516746162848205,111,0.03657423657423657,0.7031297477132733,111
hurricane_john_southern_mexico_25_september_2024,267,-0.14659636681843802,0.01652404585790279,267,0.17213543669672252,0.004793336693667198,267,0.14636309875813128,0.01669875222262571,267
moldova_flooding_2024,18,-0.07739938080495357,0.7601672386317739,18,-0.4674922600619195,0.050437519451044396,18,-0.3519091847265222,0.15210693918997695,18
spain_flood,164,-0.10739869138791777,0.17105653061329817,164,-0.08140600982139212,0.30008429472593506,164,0.07307823106117284,0.3524001270202623,164
the_wildfires_in_quito_pichincha_province_ecuador,29,-0.15024630541871917,0.43660296162230755,29,-0.12807881773399013,0.5078931884210849,29,0.2551724137931034,0.18156839465631944,29
tropical_storm_debby_united_states_pre_landfall_4_august_2024,503,0.2544848533537911,7.085887617970495e-09,503,0.23587539456865336,8.665998165622508e-08,503,0.17376513071070823,8.955024707994936e-05,503
turkiye_earthquake_2023,257,-0.4810926330196361,2.7149436045365064e-16,257,-0.2266911648267125,0.00024807706243550417,257,0.2462736686725183,6.594690723200519e-05,257
typhoon_krathon_across_taiwan,32,0.4831378299120234,0.005094097898066761,32,0.5135630498533724,0.002644900185926883,32,-0.07734604105571846,0.673931181637811,32
typhoon_yagi_across_northeastern_vietnam,16,0.4147058823529412,0.11022940391770165,16,-0.4147058823529412,0.11022940391770165,16,0.3970588235294118,0.12780600908826178,16
wildfires_in_boise_county_idaho_27_august_2024,18,0.5170278637770898,0.02800614736378716,18,0.5170278637770898,0.02800614736378716,18,-0.08565531475748193,0.7354104124232368,18
