slug,short_name,model,BIC,sse,k_minus,k_plus,gamma,c
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,A,-1145.0581274593505,0.46714544770532584,0.15487130322677325,0.15487130322677325,0.0,0.08061606650450555
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,B,-1139.8006320873612,0.46714544770523175,0.15487488524235443,0.020833333333333304,0.0,0.08061611910377706
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,C,-1150.5817648685638,0.4416372868197625,0.18403936555958103,0.18403936555958103,-1.2047143596720613,0.07991462918338937
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,D,-1145.3242694581104,0.4416372869081493,0.18404251314422188,0.17081123599563833,-1.2047350926351477,0.07991463656324652
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,A,-1591.5684809157246,0.03937128793904929,0.0008646436608812906,0.0008646436608812906,0.0,3.3332996753831403e-19
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,B,-1586.3267338962685,0.039371287939965124,0.020833333333333332,0.0008646379145613733,0.0,4.5897011604095874e-14
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,C,-1666.0341550659239,0.02582400358779398,0.0019382151421504408,0.0019382151421504408,-0.07939669250905657,8.553734586533771e-23
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,D,-1660.7924080312248,0.025824003590477426,0.020833333333333332,0.001938199430972927,-0.07939591830455486,4.009912122961595e-15
hurricane_john_across_southeastern_guerrero_mexico,john_gue,A,-921.2759419982274,0.07791020776541947,0.1000478762173962,0.1000478762173962,0.0,0.09228864755876397
hurricane_john_across_southeastern_guerrero_mexico,john_gue,B,-916.4396600310874,0.07791020780263606,0.020833333333333332,0.1000536218976183,0.0,0.09228891881557491
hurricane_john_across_southeastern_guerrero_mexico,john_gue,C,-919.4767798539658,0.07605470286974436,0.11452230849039696,0.11452230849039696,-3.9380810152786014,0.09206402244355
hurricane_john_across_southeastern_guerrero_mexico,john_gue,D,-895.2593139744708,0.08870105438992591,0.020833333333333332,1.0000000934124993e-05,9.999999999946661,0.06829778781628154
hurricane_john_southern_mexico_25_september_2024,john_sm,A,-1913.0538298345687,0.12173134871624627,0.08409938478797148,0.08409938478797148,0.0,0.09405782103765215
hurricane_john_southern_mexico_25_september_2024,john_sm,B,-1907.5244005825773,0.12173134879570013,0.020833333333333332,0.08409504535227855,0.0,0.09405763301075394
hurricane_john_southern_mexico_25_september_2024,john_sm,C,-1907.774966985435,0.1216103701168317,0.08928463497368014,0.08928463497368014,-1.0963221901043962,0.09410537113410246
hurricane_john_southern_mexico_25_september_2024,john_sm,D,-1885.7887212289268,0.12981716981311187,0.020833333333333332,1.0000177221529665e-05,9.999999998912006,0.07483115153757085
moldova_flooding_2024,moldova,A,-1773.0377029528152,0.18023163566214012,0.00218855737451937,0.00218855737451937,0.0,4.5797340855541504e-17
moldova_flooding_2024,moldova,B,-1775.9839995816963,0.17416608335521278,0.004145716093847428,0.0019331212390184288,0.0,1.1270431890560188e-18
moldova_flooding_2024,moldova,C,-1799.0021063680547,0.15866873961435643,0.0037136653763193933,0.0037136653763193933,-0.1891051280906989,3.1178404972512807e-13
moldova_flooding_2024,moldova,D,-1796.2516723227436,0.15690629418620555,1.652022032468055,0.007050597010345265,-0.3733074363652926,0.016507329553894706
spain_flood,spain_flood,A,-716.0062197607144,0.10500016383222269,0.0033718204678340044,0.0033718204678340044,0.0,2.9406928135693285e-18
spain_flood,spain_flood,B,-712.4424922198268,0.10391556982778412,0.009436379270542871,0.0033398817767596577,0.0,7.823477451881814e-21
spain_flood,spain_flood,C,-735.4191859105673,0.08349218934085971,0.00568593094718151,0.00568593094718151,-0.05957857552924462,4.036595796683037e-18
spain_flood,spain_flood,D,-731.2146290828907,0.08313560361331843,0.009535401789814903,0.005647162212609443,-0.059027176785900824,1.1090140878555987e-15
the_earthquake_across_central_mexico,the_earthquake_across_,A,-598.8204019953121,0.060598014607721344,0.011913808189734788,0.011913808189734788,0.0,2.2317236645701853e-12
the_earthquake_across_central_mexico,the_earthquake_across_,B,-594.3895851768899,0.0605980146218456,0.020833333333333332,0.011913840642506,0.0,7.887331046486125e-11
the_earthquake_across_central_mexico,the_earthquake_across_,C,-613.0600708698923,0.04852089081720806,0.00909991672823474,0.00909991672823474,0.05369194169377581,5.43915339010499e-20
the_earthquake_across_central_mexico,the_earthquake_across_,D,-608.6292533466598,0.04852089123563672,0.020833333333333332,0.009100545885512389,0.053681921930704125,7.24664458919092e-11
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,A,-1983.7155620705494,0.33206787626529943,0.004472068180010888,0.004472068180010888,0.0,0.005761456176495925
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,B,-2011.7450610496965,0.2960916570921339,0.004141491608748213,0.0001081500875965718,0.0,1.0061458427390487e-14
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,C,-2034.2093020836614,0.27431033518168857,0.010596871202781915,0.010596871202781915,-0.21545289031213857,0.023299252021479505
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,D,-2060.4402638387432,0.2460924339940505,0.007738791476312491,0.001646134287013425,-0.15238197178025792,0.010372543652664743
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,A,-1625.0812051046157,0.32807985847419124,0.004108400046610245,0.004108400046610245,0.0,0.016360243302446908
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,B,-1609.898080423708,0.34118401807533943,0.004943705409307267,0.020874431902943892,0.0,0.029664924181692125
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,C,-1640.2827319061657,0.30169216938271537,0.0010827145203041468,0.0010827145203041468,0.06190634698934997,0.00805932519762501
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,D,-1634.8066875997765,0.30165144487322615,0.0010092860093811559,0.0011658622409047993,0.06395495617380693,0.008349034715869291
turkiye_earthquake_2023,turkiye,A,-2684.464509626018,12.77970807528231,0.02518334230665023,0.02518334230665023,0.0,0.21984014595056578
turkiye_earthquake_2023,turkiye,B,-2739.7656380549856,11.667537050146443,0.0101876736621224,0.10934052311101053,0.0,0.21348091702322103
turkiye_earthquake_2023,turkiye,C,-2710.2255314625145,12.18634041011356,0.038958086589208185,0.038958086589208185,-0.05642440649217345,0.21887196073489498
turkiye_earthquake_2023,turkiye,D,-2736.449732824864,11.61259884462213,0.005714993835627928,0.1034579263417752,0.02833460853409921,0.2098673914922858
typhoon_krathon_across_taiwan,krathon_tw,A,-599.4479914352397,0.060146955585566014,0.011965569536978842,0.011965569536978842,0.0,0.025892988722057808
typhoon_krathon_across_taiwan,krathon_tw,B,-595.0171741958634,0.060146955901003205,0.020833333333333332,0.011964586108079548,0.0,0.025888677670977855
