slug,n_rows,n_valid_xy,n_positive_abs_delta0_valid,sum_abs_delta0_valid,participated_exp2_event_level,exclude_reason
cambodia_monsoon_season_study_2024_05_09,16,16,16,4.484964972605722,1,
flooding_in_central_and_eastern_europe_sept_16_2024,21,21,21,2.112431976224489,1,
hurricane_john_across_southeastern_guerrero_mexico,21,21,21,2.238280694834041,1,
hurricane_john_southern_mexico_25_september_2024,21,21,21,2.310014071538607,1,
moldova_flooding_2024,20,20,20,1.202956021880936,1,
spain_flood,21,21,21,2.6807604935482723,1,
the_earthquake_across_central_mexico,21,21,21,5.199501234365966,1,
the_wildfires_in_quito_pichincha_province_ecuador,21,21,21,2.1141495532065817,1,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,20,20,20,1.2420007358563765,1,
turkiye_earthquake_2023,21,20,20,6.4384989583576555,1,
typhoon_krathon_across_taiwan,21,21,21,2.7020632594297815,1,
typhoon_yagi_across_northeastern_vietnam,18,18,18,5.2459701481653624,1,
wildfires_in_boise_county_idaho_27_august_2024,21,21,21,1.5667385582329731,1,
