slug,short_name,disaster_type,event_type,n_bins,n_points,k_minus,k_plus,k_ratio,gamma,c,r2,BIC_A,BIC_B,BIC_C,BIC_D,best_model,near_delta,D_peak,alpha
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,16,192,0.18403936555958103,0.18403936555958103,1.0,-1.2047143596720613,0.07991462918338937,0.05612721045956337,-1145.0581274593505,-1139.8006320873612,-1150.5817648685638,-1145.3242694581104,C,-0.2243898633397315,0.2813058094235828,0.2417167549003049
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,21,189,0.0019382151421504408,0.0019382151421504408,1.0,-0.07939669250905657,8.553734586533771e-23,0.8986991136705432,-1591.5684809157246,-1586.3267338962685,-1666.0341550659239,-1660.7924080312248,C,0.0663782817545836,0.1005919988678328,0.0978433601132348
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,20,160,0.0031776146551151254,0.01025191733294325,0.3099532069873661,0.0,0.015443485703181993,0.8604314461389403,-1187.127982992086,-1257.44857302406,-1192.6720929037513,-1252.7421161549053,B,-0.0176933208597949,0.0522484295297717,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,21,126,0.1000478762173962,0.1000478762173962,1.0,0.0,0.09228864755876397,0.023548128951798697,-921.2759419982274,-916.4396600310874,-919.4767798539658,-895.2593139744708,A,0.1004142583584873,0.1089911636971918,0.075208712650264
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,21,252,0.08409938478797148,0.08409938478797148,1.0,0.0,0.09405782103765215,0.0315638693543836,-1913.0538298345687,-1907.5244005825773,-1907.774966985435,-1885.7887212289268,A,0.1009387034541329,0.1105303967145169,0.1929250562595979
hurricane_melissa_aftermath_2025_11_03,melissa_aft,hurricane,EVAC,19,94,0.0023600383867556185,1.0000000000045703e-05,236.00383867448323,-0.004018293947869928,0.00019031561260456317,0.9152512570924453,-329.71181565856887,-467.06883388277384,-331.550769863606,-500.2256009400353,D,-0.5420930463020194,0.3276160610584619,0.1295041734714219
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,india_monsoon_season_s,monsoon,INFL,21,252,0.102493844857913,0.102493844857913,1.0,0.0,0.031517007466297556,0.004348754365090635,-1936.2823917275175,-1930.752962761966,-1932.1273159727577,-1926.5978775253482,A,0.079250565827332,0.1814830687383066,
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,21,84,1.0547783846566317,1.0547783846566317,1.0,0.0,0.11282820283896398,-1.970601459788668e-11,-738.2542863401098,-733.8234695425939,-733.8234695429218,-729.3926527437955,A,0.0928062713302606,0.1202653175000561,
moldova_flooding_2024,moldova,flood,INFL,19,247,0.0037136653763193933,0.0037136653763193933,1.0,-0.1891051280906989,3.1178404972512807e-13,0.4449146503270358,-1773.0377029528152,-1775.9839995816963,-1799.0021063680547,-1796.2516723227436,C,0.0365095361631747,0.0631527023112268,-0.0012287169415026
pakistan_monsoon_season_study_sindh_2024_05_09,pakistan_monsoon_seaso,monsoon,INFL,16,448,1.0000000000002383e-05,0.004293312229171019,0.0023292039959398082,-0.16513321584394758,0.005297203978650527,0.41662037711582744,-2961.0726195775005,-3050.8759285804895,-2983.023640768441,-3179.080521630408,D,0.0274249205803335,0.0864689167275413,
