slug,name,event_type,output_root,value_col,r_max_km,time_min,time_max,complete_only,sigma1_energy,n_r_bins_used,n_time_used,t_peak,g1_peak,abs_g1_peak,fit_ok,fit_mode,t_start,n_fit,alpha,logA,r2_loglog,t_fit_min,t_fit_max
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.9684214939926664,21,11,144.0,0.5295061363526209,0.5295061363526209,1,from_peak,144.0,5.0,0.8139520090650892,3.4379493117470092,0.9535636481880736,144.0,240.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.9450025882685946,21,12,192.0,0.610131565100581,0.610131565100581,1,from_peak,192.0,4.0,0.151022491973697,0.26593018608721153,0.15556060952110962,192.0,264.0
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.931529661461368,21,7,72.0,0.44707655210914654,0.44707655210914654,1,from_peak,72.0,7.0,0.0862413270254843,-0.5321879803029482,0.11704337568119527,72.0,216.0
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,200.0,,,0,0.926156258036644,18,11,29.0,-1.7176117387696457,1.7176117387696457,1,from_peak,29.0,11.0,0.7824284000565311,3.3228868869772086,0.9334643431566272,29.0,269.0
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.904385473372197,21,10,72.0,0.6089918289214004,0.6089918289214004,1,from_peak,72.0,7.0,0.17249384025311912,0.23368519274275146,0.41755743733949435,72.0,216.0
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs,phi_overlap,200.0,,,0,0.883757850174362,21,36,16.0,1.5024572431079979,1.5024572431079979,0,,,,,,,,
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.8725584560521702,21,15,0.0,-0.6721187820760469,0.6721187820760469,0,,,,,,,,
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.8506176062351863,21,15,288.0,-0.46290026596430983,0.46290026596430983,0,,,,,,,,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.8478312742039664,15,12,264.0,1.2029020553381065,1.2029020553381065,0,,,,,,,,
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.8090552041857954,18,15,72.0,-0.6672936926867822,0.6672936926867822,0,,,,,,,,
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.7476820816837335,19,31,24.0,-1.6154104516984782,1.6154104516984782,0,,,,,,,,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.6948528179368363,21,14,288.0,1.5922800986183394,1.5922800986183394,0,,,,,,,,
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.6077947886654546,21,14,0.0,-0.6474585958645893,0.6474585958645893,0,,,,,,,,
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,phi_overlap,200.0,,,0,0.5468610254851537,21,15,96.0,0.752203635139156,0.752203635139156,0,,,,,,,,
