slug,center_file_exists,n_rows,center_extrapolated_sum,status
flooding_in_central_and_eastern_europe_sept_16_2024,1,27,0,ok
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,1,14,0,ok
hurricane_beryl_across_southeastern_texas_us,1,15,0,ok
hurricane_beryl_pre_landfall_2024,1,32,0,ok
hurricane_john_across_southeastern_guerrero_mexico,1,7,0,ok
hurricane_john_southern_mexico_25_september_2024,1,15,0,ok
hurricane_milton_across_florida_us,1,10,0,ok
moldova_flooding_2024,1,28,0,ok
spain_flood,1,10,0,ok
the_earthquake_across_central_mexico,1,4,0,ok
the_flooding_across_bagmati_and_koshi_provinces_nepal,1,15,0,ok
the_flooding_across_eastern_bangladesh,1,12,0,ok
the_flooding_across_gujarat_india,1,8,0,ok
turkiye_earthquake_2023,1,36,0,ok
typhoon_yagi_across_northeastern_vietnam,1,11,0,ok
wildfires_in_boise_county_idaho_27_august_2024,1,15,0,ok
