day_idx,hours_since_quake,D,near_delta,n_r_bins,t_hours,D_peak,t_peak_hours,D_norm,short_name,slug,name,disaster_type,event_type
-1,-12.0,0.06124296707260725,-0.0655416044588536,21,-12.0,0.10385152138755832,416.0,0.5897166093894539,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
0,8.0,0.026980378300664642,-0.022451628173877785,21,8.0,0.10385152138755832,416.0,0.2597976220298007,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
1,32.0,0.024042961236624517,-0.010186705540537052,21,32.0,0.10385152138755832,416.0,0.23151284560290442,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
2,56.0,0.02750873206026443,-0.0025481444793176472,21,56.0,0.10385152138755832,416.0,0.2648852100837884,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
3,80.0,0.054426136217718656,0.0411450411335991,21,80.0,0.10385152138755832,416.0,0.5240764457807842,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
4,104.0,0.06045314889756471,0.05165283194685902,21,104.0,0.10385152138755832,416.0,0.5821113459856078,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
5,128.0,0.06310495497574675,0.05399240555635027,21,128.0,0.10385152138755832,416.0,0.6076459365505924,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
6,152.0,0.06245879964711828,0.04929714236122868,21,152.0,0.10385152138755832,416.0,0.6014240216475153,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
7,176.0,0.0626931173728941,0.05280860815272433,21,176.0,0.10385152138755832,416.0,0.6036802979412577,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
8,200.0,0.06747372397936661,0.05876100874970827,21,200.0,0.10385152138755832,416.0,0.6497133896340794,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
9,224.0,0.07240593017878115,0.06486319268426718,21,224.0,0.10385152138755832,416.0,0.6972062538070393,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
10,248.0,0.08345813305818066,0.07202111175696635,21,248.0,0.10385152138755832,416.0,0.8036293733890273,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
11,272.0,0.09970958888272174,0.0966586531784916,21,272.0,0.10385152138755832,416.0,0.960116785488587,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
12,296.0,0.09533209879324502,0.0846498009136022,21,296.0,0.10385152138755832,416.0,0.9179653559188594,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
13,320.0,0.0867850126870716,0.07777209849875555,21,320.0,0.10385152138755832,416.0,0.8356643362325231,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
14,344.0,0.0780552401938531,0.06828159255354398,21,344.0,0.10385152138755832,416.0,0.7516042052245209,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
15,368.0,0.08715485427835257,0.07990203469044738,21,368.0,0.10385152138755832,416.0,0.8392255897061316,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
16,392.0,0.09617922574675884,0.08868177308379416,21,392.0,0.10385152138755832,416.0,0.926122453111037,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
17,416.0,0.10385152138755832,0.09860298556273366,21,416.0,0.10385152138755832,416.0,1.0,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
18,440.0,0.09240707203712724,0.08659844377498967,21,440.0,0.10385152138755832,416.0,0.8897998874015325,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
19,464.0,0.08731659795090757,0.0785214028764503,21,464.0,0.10385152138755832,416.0,0.8407830408671155,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
20,488.0,0.08608391025424922,0.07511876112820685,21,488.0,0.10385152138755832,416.0,0.8289133284142941,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
21,512.0,0.07813126713919359,0.0681921339143389,21,512.0,0.10385152138755832,416.0,0.7523362787110206,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
22,536.0,0.08664370076054122,0.07847973864027664,21,536.0,0.10385152138755832,416.0,0.8343036250494579,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
23,560.0,0.08534175446432313,0.07681089215663849,21,560.0,0.10385152138755832,416.0,0.8217670124045702,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
24,584.0,0.09178578825200127,0.07873718828762573,21,584.0,0.10385152138755832,416.0,0.8838174638720069,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
25,608.0,0.08267729565886205,0.06919690044648379,21,608.0,0.10385152138755832,416.0,0.7961105870594112,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
26,624.0,0.08146596085445794,0.07040841066598487,21,624.0,0.10385152138755832,416.0,0.7844464844230753,flooding_in_central_an,flooding_in_central_and_eastern_europe_sept_16_2024,Flooding In Central And Eastern Europe Sept 16 2024,flood,INFL
-1,-12.0,0.1242783818072858,-0.1623736554059852,21,-12.0,0.1242783818072858,-12.0,1.0,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
0,8.0,0.06417385190440959,-0.09703964595766135,21,8.0,0.1242783818072858,-12.0,0.5163718015247557,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
1,32.0,0.048822695063841515,-0.07493085303997166,21,32.0,0.1242783818072858,-12.0,0.39284945904388413,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
2,56.0,0.032861213062864075,-0.019236048667518924,21,56.0,0.1242783818072858,-12.0,0.264416164621622,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
3,80.0,0.019625492997069813,-0.002166156534415376,21,80.0,0.1242783818072858,-12.0,0.1579155820318162,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
4,104.0,0.019537436214156576,-0.003028563208202632,21,104.0,0.1242783818072858,-12.0,0.15720703737881464,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
5,128.0,0.023868646509389236,-0.003453533306394999,21,128.0,0.1242783818072858,-12.0,0.192057911941608,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
6,152.0,0.029907807183326113,-0.03772714083013023,21,152.0,0.1242783818072858,-12.0,0.24065172677982818,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
7,176.0,0.025966630789161286,-0.023399766275192534,21,176.0,0.1242783818072858,-12.0,0.20893924117411541,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
8,200.0,0.020039188733480446,-0.0006115706152810354,21,200.0,0.1242783818072858,-12.0,0.1612443648047697,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
9,224.0,0.04097306962633774,-0.05505693747525108,21,224.0,0.1242783818072858,-12.0,0.32968782688105214,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
10,248.0,0.036416906188205984,-0.05430427944107057,21,248.0,0.1242783818072858,-12.0,0.29302687771294306,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
11,272.0,0.03311173961703829,-0.05097911195401611,21,272.0,0.1242783818072858,-12.0,0.2664320144462737,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
12,296.0,0.037494301277317066,-0.06259826453178878,21,296.0,0.1242783818072858,-12.0,0.30169608528905845,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
13,312.0,0.02726039560374967,-0.029062914823903035,21,312.0,0.1242783818072858,-12.0,0.21934945730160396,beryl_qr,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,EVAC
-1,-8.0,0.14273692028340842,-0.3424215633964206,19,-8.0,0.21757326670725943,8.0,0.6560407096128136,beryl_tx,hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,EVAC
0,8.0,0.21757326670725943,-0.30280328451036287,20,8.0,0.21757326670725943,8.0,1.0,beryl_tx,hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,EVAC
1,32.0,0.1208681417818705,-0.14712574687103935,20,32.0,0.21757326670725943,8.0,0.5555284599577953,beryl_tx,hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,EVAC
2,56.0,0.0734657055099411,-0.06558115830579343,20,56.0,0.21757326670725943,8.0,0.33765961518051646,beryl_tx,hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,EVAC
3,80.0,0.05456294473267297,-0.04409602888348421,21,80.0,0.21757326670725943,8.0,0.25077963648027746,beryl_tx,hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,EVAC
4,104.0,0.04159280371105709,-0.028469913104436913,21,104.0,0.21757326670725943,8.0,0.1911668852544251,beryl_tx,hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,EVAC
