slug,short_name,disaster_type,event_type,t_peak_hours,D_peak,tau50_h,tau50_lower_bound
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,0.10059199886783282,212.0,1
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-12.0,0.10886299415209477,20.0,0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,8.0,0.1113934543524699,48.0,0
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,32.0,0.14564070016774777,216.0,0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,128.0,0.09566949166004161,16.0,1
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,272.0,0.09290689598625657,64.0,1
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,56.0,0.14537491848506115,160.0,1
moldova_flooding_2024,moldova,flood,INFL,648.0,0.07469183208739945,,0
spain_flood,spain_flood,flood,INFL,104.0,0.12910513786241298,116.0,1
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,32.0,0.24759529687456974,96.0,0
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,336.0,0.15813251023906852,,0
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,8.0,0.09290739518946219,24.0,0
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,128.0,0.10240163495399611,40.0,1
turkiye_earthquake_2023,turkiye,earthquake,INFL,8.0,0.3565980804269134,816.0,1
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,-12.0,0.24188451763179306,44.0,0
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,128.0,0.09664828530481674,208.0,1
