removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,11,-0.6636363636363638,0.0259841339187655
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,11,-0.5272727272727273,0.09556521835315425
hurricane_beryl_across_southeastern_texas_us,11,-0.5272727272727273,0.09556521835315425
hurricane_beryl_pre_landfall_2024,11,-0.5181818181818182,0.1024915397909638
hurricane_john_southern_mexico_25_september_2024,11,-0.6545454545454547,0.028864598957001903
hurricane_milton_across_florida_us,11,-0.6818181818181819,0.020842853610945084
spain_flood,11,-0.7272727272727273,0.011204967253592074
the_earthquake_across_central_mexico,11,-0.7727272727272727,0.005299487178643862
the_flooding_across_eastern_bangladesh,11,-0.6000000000000001,0.05100326070695074
turkiye_earthquake_2023,11,-0.6454545454545455,0.03196279932801746
typhoon_yagi_across_northeastern_vietnam,11,-0.5181818181818182,0.1024915397909638
wildfires_in_boise_county_idaho_27_august_2024,11,-0.6636363636363638,0.0259841339187655
