subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,12,-0.8811188811188813,0.00015267406467669862
selected_r2_ge_0p8,10,-0.9393939393939393,5.4840529985136686e-05
