slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,Flooding In Central And Eastern Europe Sept 16 2024,flood,outputs/_runs/routeB16_legacy_repro,28,81,8.0,1,416.0,0.10059199886783282,INFL,0.06637828175458367,0.8665136001354186
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/routeB16_legacy_repro,15,42,8.0,1,-12.0,0.10886299415209477,EVAC,-0.1250052135093821,0.345707706188446
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/routeB16_legacy_repro,16,45,8.0,1,8.0,0.1113934543524699,EVAC,-0.1427504235229236,0.23686177306254938
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/routeB16_legacy_repro,33,96,8.0,1,32.0,0.14564070016774777,NEUTRAL,0.014888244168086578,0.5378971221355678
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/routeB16_legacy_repro,8,21,8.0,1,128.0,0.09566949166004161,INFL,0.07226739517262329,0.7990851721243629
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/routeB16_legacy_repro,16,45,8.0,1,272.0,0.09290689598625657,INFL,0.07583067207909061,0.8315454084019315
hurricane_milton_across_florida_us,milton_fl,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/routeB16_legacy_repro,11,30,8.0,1,56.0,0.14537491848506115,INFL,0.11933602843156642,0.8034047514618141
moldova_flooding_2024,moldova,Moldova Flooding Sept 16 2024,flood,outputs/_runs/routeB16_legacy_repro,29,84,8.0,1,648.0,0.07469183208739945,INFL,0.039528671836805945,
spain_flood,spain_flood,Spain Flood (Valencia and Castilla-La Mancha Regions),flood,outputs/_runs/routeB16_legacy_repro,11,30,8.0,1,104.0,0.12910513786241298,INFL,0.13846800317552516,0.785070108828101
the_earthquake_across_central_mexico,the_earthquake_across_,The Earthquake Across Central Mexico,earthquake,outputs/_runs/routeB16_legacy_repro,5,13,8.0,1,32.0,0.24759529687456974,INFL,0.25048946838167174,0.3869447158247225
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,outputs/_runs/routeB16_legacy_repro,16,45,8.0,1,336.0,0.15813251023906852,EVAC,-0.07667277859995887,
the_flooding_across_eastern_bangladesh,bangladesh_fld,The Flooding Across Eastern Bangladesh,flood,outputs/_runs/routeB16_legacy_repro,13,36,8.0,1,8.0,0.09290739518946219,INFL,0.05256397366878649,0.4885953426724734
the_flooding_across_gujarat_india,gujarat_fld,"The Flooding Across Gujarat, India",flood,outputs/_runs/routeB16_legacy_repro,9,24,8.0,1,128.0,0.10240163495399611,EVAC,-0.07876872310298637,0.7853634732827148
turkiye_earthquake_2023,turkiye,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs/_runs/routeB16_legacy_repro,36,107,8.0,1,8.0,0.3565980804269134,INFL,0.03375628520912457,0.6237477350986944
typhoon_yagi_across_northeastern_vietnam,yagi_vn,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/routeB16_legacy_repro,12,33,8.0,1,-12.0,0.24188451763179306,EVAC,-0.27226129174541724,0.20316338082673044
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,Wildfires In Boise County Idaho 27 August 2024,wildfire,outputs/_runs/routeB16_legacy_repro,16,45,8.0,1,128.0,0.09664828530481674,INFL,0.058404251709222824,0.5391741336524839
