group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,9,0.7599825774002595,0.12359247127344923,0.16262540082988886,good
all,0.5,1.0,10,0.6923921271553035,0.13726365297664994,0.19824554265311817,good
all,1.0,1.5,14,0.6275884018976675,0.18095348282224605,0.2883314641811238,good
all,1.5,2.0,3,0.40217483509509394,0.08983722350402541,0.22337853009322045,good
all,2.0,2.5,5,0.3602279782180199,0.1135259073062846,0.31515016648033817,medium
all,2.5,3.0,3,0.31793798777784543,0.17642150796708608,0.5548928242269623,bad
EVAC,0.0,0.5,1,0.7475271360990853,,,insufficient
EVAC,0.5,1.0,2,0.7471725095090295,0.1626879973720628,,insufficient
EVAC,1.0,1.5,4,0.5445348582065399,0.16111953087591374,0.2958846958054644,good
EVAC,1.5,2.0,2,0.3533212177530392,0.04267783838716502,,insufficient
EVAC,2.0,2.5,3,0.3027287598813025,0.08196393232652753,0.2707503983389782,good
EVAC,2.5,3.0,2,0.21636793072778526,0.018714646986955425,,insufficient
INFL,0.0,0.5,7,0.7648108669541485,0.14225971613369426,0.1860064001185576,good
INFL,0.5,1.0,7,0.6948743648711416,0.1419780742001901,0.20432193411900967,good
INFL,1.0,1.5,9,0.6841880372289858,0.18027018681210116,0.26348047174605577,good
INFL,1.5,2.0,0,,,,insufficient
INFL,2.0,2.5,1,0.36486751307206217,,,insufficient
INFL,2.5,3.0,0,,,,insufficient
